slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
alchemy-mainnet-free,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,,,,mainnet,$49/$199,,,,,,,,,,,,,,,,,,
alchemy-testnet-free,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
alchemy-testnet-pay-as-you-go,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/alchemy)""]",,,,,,testnet,$49/$199,,,,,,,,,,,,,,,,,,
drpc-mainnet-free-recent-state,,!offer:drpc-free-recent-state,"[""[Website](https://drpc.org/chainlist/lens-mainnet-rpc)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-pay-as-you-go-recent-state,,!offer:drpc-pay-as-you-go-recent-state,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-public-recent-state,,!offer:drpc-public-recent-state,"[""[Access](https://lens.drpc.org)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-testnet-free-full-archive,,!offer:drpc-free-full-archive,"[""[Website](https://drpc.org/chainlist/lens-mainnet-rpc)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
drpc-testnet-pay-as-you-go-full-archive,,!offer:drpc-pay-as-you-go-full-archive,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
drpc-testnet-public-full-archive,,!offer:drpc-public-full-archive,"[""[Access](https://lens-testnet.drpc.org)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-advanced-recent-state,,!offer:getblock-advanced-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,,!offer:getblock-dedicated-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,,!offer:getblock-free-recent-state,"[""[Website](https://getblock.io/nodes/lens/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-pro-recent-state,,!offer:getblock-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-starter-recent-state,,!offer:getblock-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
