slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,tag
across-mainnet,,!offer:across,,mainnet,,,,,,,,,,,,,,,,,,
allbridge-core-mainnet,,!offer:allbridge-core,,mainnet,,,,,,,,,,,,,,,,,,
celer-mainnet,,!offer:celer,,mainnet,,,,,,,,,,,,,,,,,,
crosscurve-mainnet,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,,
ecoportal-mainnet,,!offer:ecoportal,,mainnet,,,,,,,,,,,,,,,,,,
garden-mainnet,,!offer:garden,,mainnet,,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,,
interport-mainnet,,!offer:interport,,mainnet,,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
mayan-mainnet,,!offer:mayan,,mainnet,,,,,,,,,,,,,,,,,,
okutrade-mainnet,,!offer:okutrade,,mainnet,,,,,,,,,,,,,,,,,,
orbiter-mainnet,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
owlto-mainnet,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,,
pheasant-mainnet,,!offer:pheasant,,mainnet,,,,,,,,,,,,,,,,,,
rhinofi-mainnet,,!offer:rhinofi,,mainnet,,,,,,,,,,,,,,,,,,
routerprotocol-mainnet,,!offer:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
superbridge-mainnet,,!offer:superbridge,,mainnet,,,,,,,,,,,,,,,,,,
symbiosis-mainnet,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
synapse-mainnet,,!offer:synapse,,mainnet,,,,,,,,,,,,,,,,,,
transporter-mainnet,,!offer:transporter,,mainnet,,,,,,,,,,,,,,,,,,
wanchain-mainnet,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,,
wormhole-mainnet,,!offer:wormhole,,mainnet,,,,,,,,,,,,,,,,,,
