slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham,,!offer:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/arbitrum)""]",one,,,,,,,
blockworks,,!offer:blockworks,"[""[Dashboard](https://blockworks.com/analytics/arbitrum)""]",one,,,,,,,
cryptoquant,,!offer:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/arb/summary)""]",one,,,,,,,
dappradar,,!offer:dappradar,"[""[Dashboard](https://dappradar.com/chain/arbitrum)""]",one,,,,,,,
defillama-nova,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/arbitrum-nova)""]",nova,,,,,,,
defillama-one,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/arbitrum)""]",one,,,,,,,
dexscreener,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/arbitrum)""]",one,,,,,,,
dune-nova,,!offer:dune,"[""[Dashboard](https://dune.com/arbitrum/arbitrum-nova)""]",nova,,,,,,,
dune-one,,!offer:dune,"[""[Dashboard](https://dune.com/datawarlock/arbitrum-economics)""]",one,,,,,,,
glassnode,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ARB)""]",one,,,,,,,
growthepie-nova,,!offer:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/arbitrum-nova)""]",nova,,,,,,,
growthepie-one,,!offer:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/arbitrum)""]",one,,,,,,,
l2beat-nova,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/nova)""]",nova,,,,,,,
l2beat-one,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/arbitrum)""]",one,,,,,,,
messari-one,,!offer:messari,"[""[Dashboard](https://messari.io/project/arbitrum)""]",one,,,,,,,
nansen,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=arbitrum&tab=overview)""]",one,,,,,,,
statuspage,,!offer:statuspage,"[""[Dashboard](https://status.arbitrum.io/)""]",one,,,,,,,
tokenterminal-nova,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/arbitrum-nova)""]",nova,,,,,,,
tokenterminal-one,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/arbitrum)""]",one,,,,,,,
