slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
0x-cert,,!offer:0x-cert,"[""[Website](https://github.com/0xcert/framework/)""]",,,,,,,,,,,,,,
alchemy-sdk-free,,!offer:alchemy-sdk-free,"[""[Docs](https://www.alchemy.com/docs)""]",,,,,,,,,,,,,,
alchemy-sdk-pay-as-you-go,,!offer:alchemy-sdk-pay-as-you-go,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",,,,,,,,,,,,,,
ankr-sdk,,!offer:ankr-sdk,"[""[Docs](https://www.ankr.com/docs/advanced-api/javascript-sdk/)""]",,,,,,,,,,,,,,
anyalt,,!offer:anyalt,"[""[Website](https://www.anyalt.finance/)"",""[Docs](https://docs.anyalt.finance/sdk/overview)""]",,,,,,,,,,,,,,
arbitrum-sdk,Arbitrum,,"[""[Docs](https://docs.arbitrum.io/sdk)""]",SDK,TypeScript,"[""Bridge SDK""]",TypeScript SDK for bridging assets and sending cross‑chain messages on Arbitrum chains,Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
assembly-script,,!offer:assembly-script,"[""[Website](https://www.assemblyscript.org/introduction.html)""]",,,,,,,,,,,,,,
axelar-sdk,,!offer:axelar-sdk,"[""[Docs](https://docs.axelar.dev/dev/axelarjs-sdk/intro/)""]",,,,,,,,,,,,,,
aztec-sdk-free,,!offer:aztec-sdk-free,"[""[Docs](https://docs.aztec.network/developers/docs/aztec-js)""]",,,,,,,,,,,,,,
blockdaemon-sdk-free,,!offer:blockdaemon-sdk-free,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Docs](https://docs.blockdaemon.com/reference/staking-sdk)""]",,,,,,,,,,,,,,
blockdaemon-sdk-growth,,!offer:blockdaemon-sdk-growth,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Contact](https://www.blockdaemon.com/api/pricing)""]",,,,,,,,,,,,,,
blockdaemon-sdk-starter,,!offer:blockdaemon-sdk-starter,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Contact](https://www.blockdaemon.com/api/pricing)""]",,,,,,,,,,,,,,
brownie,,!offer:brownie,"[""[Website](https://github.com/eth-brownie/brownie)""]",,,,,,,,,,,,,,
capstone-disassembler,,!offer:capstone-disassembler,"[""[Website](https://github.com/crytic/pyevmasm)""]",,,,,,,,,,,,,,
chainbase-sdk-developer,,!offer:chainbase-sdk-developer,"[""[Buy](https://platform.chainbase.com/pricing)""]",,,,,,,,,,,,,,
chainbase-sdk-free,,!offer:chainbase-sdk-free,"[""[Docs](https://docs.chainbase.com/network/introduction/networks/developers#setting-up-the-development-environment)""]",,,,,,,,,,,,,,
connectkit,,!offer:connectkit,"[""[Website](https://family.co/docs/connectkit)""]",,,,,,,,,,,,,,
dappkit,,!offer:dappkit,"[""[GitHub](https://github.com/layerx-labs/dappkit)""]",,,,,,,,,,,,,,
db3-js,,!offer:db3-js,"[""[Docs](https://docs.db3.network/)""]",,,,,,,,,,,,,,
dfns-sdk-basic,,!offer:dfns-sdk-basic,"[""[Buy](https://www.dfns.co/pricing)"",""[Docs](https://docs.dfns.co/sdks)"" ]",,,,,,,,,,,,,,
