slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis-mainnet,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/ethereum?tab=overview)""]",mainnet,,,,,,,,,
blockworks-mainnet,,!offer:blockworks,"[""[Dashboard](https://blockworks.com/analytics/ethereum)""]",mainnet,,,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/eth/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/eth/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/eth/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/eth/summary)""]",mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/ethereum)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/ethereum)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/ethereum)""]",mainnet,,,,,,,,,
dexscreener-mainnet,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/ethereum)""]",mainnet,,,,,,,,,
dune-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/ethereum)""]",mainnet,,,,,,,,,
dune-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/ethereum)""]",mainnet,,,,,,,,,
dune-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/ethereum)""]",mainnet,,,,,,,,,
glassnode-mainnet,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ETH)""]",mainnet,,,,,,,,,
laevitas-enterprise,,!offer:laevitas-enterprise,"[""[Dashboard](https://app.laevitas.ch/assets/overview/ETH)""]",mainnet,,,,,,,,,
laevitas-free,,!offer:laevitas-free,"[""[Dashboard](https://app.laevitas.ch/assets/overview/ETH)""]",mainnet,,,,,,,,,
laevitas-premium,,!offer:laevitas-premium,"[""[Dashboard](https://app.laevitas.ch/assets/overview/ETH)""]",mainnet,,,,,,,,,
lunarcrush-builder,,!offer:lunarcrush-builder,"[""[Buy](https://lunarcrush.com/pricing)""]",mainnet,,,,,,,,,
lunarcrush-hobby,,!offer:lunarcrush-hobby,"[""[Website](https://lunarcrush.com/home?category=cryptocurrencies)""]",mainnet,,,,,,,,,
lunarcrush-individual,,!offer:lunarcrush-individual,"[""[Buy](https://lunarcrush.com/pricing)""]",mainnet,,,,,,,,,
lunarcrush-scale,,!offer:lunarcrush-scale,"[""[Buy](https://lunarcrush.com/pricing)""]",mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/ethereum)""]",mainnet,,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=ethereum)""]",mainnet,,,,,,,,,
santiment-business-max,,!offer:santiment-business-max,"[""[Buy](https://app.santiment.net/pricing?plans=business)""]",mainnet,,,,,,,,,
santiment-business-pro,,!offer:santiment-business-pro,"[""[Buy](https://app.santiment.net/pricing?plans=business)""]",mainnet,,,,,,,,,
santiment-free,,!offer:santiment-free,"[""[Website](https://app.santiment.net/)""]",mainnet,,,,,,,,,
santiment-sanbase-max,,!offer:santiment-sanbase-max,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
santiment-sanbase-pro,,!offer:santiment-sanbase-pro,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/ethereum)""]",mainnet,,,,,,,,,
