slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance,supportedLanguages,supportedFrameworks
abdk,,!offer:abdk,,,,,,,,,,,,,,,
aderyn,,!offer:aderyn,,,,,,,,,,,,,,"[""Solidity""]","[""Foundry"",""Hardhat""]"
aegis-web3,,!offer:aegis-web3,,,,,,,,,,,,,,,
audit-base-pay-as-you-go,,!offer:audit-base-pay-as-you-go,,,,,,,,,,,,,,,
audit-base-pro,,!offer:audit-base-pro,,,,,,,,,,,,,,,
audit-base-starter,,!offer:audit-base-starter,,,,,,,,,,,,,,,
audit-base-team,,!offer:audit-base-team,,,,,,,,,,,,,,,
beosin-kyt,,!offer:beosin-kyt,,,,,,,,,,,,,,,
beosin-smart-contract-audit,,!offer:beosin-smart-contract-audit,,,,,,,,,,,,,,,
beosin-trace,,!offer:beosin-trace,,,,,,,,,,,,,,,
blockaid,,!offer:blockaid,,,,,,,,,,,,,,,
blocksec-phalcon,,!offer:blocksec-phalcon,,,,,,,,,,,,,,,
blowfish-free,,!offer:blowfish-free,,,,,,,,,,,,,,,
certora-gambit,,!offer:certora-gambit,,,,,,,,,,,,,,,
certora-prover-basic,,!offer:certora-prover-basic,,,,,,,,,,,,,,"[""Solidity"",""Rust""]","[""Foundry""]"
certora-prover-enterprise,,!offer:certora-prover-enterprise,,,,,,,,,,,,,,"[""Solidity"",""Rust""]","[""Foundry""]"
certora-prover-premium,,!offer:certora-prover-premium,,,,,,,,,,,,,,"[""Solidity"",""Rust""]","[""Foundry""]"
chainsecurity,,!offer:chainsecurity,,,,,,,,,,,,,,,
chimera,,!offer:chimera,,,,,,,,,,,,,,"[""Solidity""]","[""Foundry"",""Echidna"",""Medusa"",""Halmos"",""Kontrol""]"
consensys-diligence-builder,,!offer:consensys-diligence-builder,,,,,,,,,,,,,,,
consensys-diligence-explorer,,!offer:consensys-diligence-explorer,,,,,,,,,,,,,,,
cyvers,,!offer:cyvers,,,,,,,,,,,,,,,
dedaub-security-suite-enterprise,,!offer:dedaub-security-suite-enterprise,,,,,,,,,,,,,,,
dedaub-security-suite-free,,!offer:dedaub-security-suite-free,,,,,,,,,,,,,,,
dedaub-security-suite-team,,!offer:dedaub-security-suite-team,,,,,,,,,,,,,,,
echidna,,!offer:echidna,,,,,,,,,,,,,,"[""Solidity""]","[""Foundry"",""Hardhat"",""Truffle""]"
ercx-enteprise,,!offer:ercx-enteprise,,,,,,,,,,,,,,,
ercx-free,,!offer:ercx-free,,,,,,,,,,,,,,,
ercx-standard,,!offer:ercx-standard,,,,,,,,,,,,,,,
goplus-beginner,,!offer:goplus-beginner,,,,,,,,,,,,,,,
goplus-free,,!offer:goplus-free,,,,,,,,,,,,,,,
goplus-growth,,!offer:goplus-growth,,,,,,,,,,,,,,,
goplus-pro,,!offer:goplus-pro,,,,,,,,,,,,,,,
goplus-test,,!offer:goplus-test,,,,,,,,,,,,,,,
goplus-ultra,,!offer:goplus-ultra,,,,,,,,,,,,,,,
hacken-blockchain-protocol-audit,,!offer:hacken-blockchain-protocol-audit,,,,,,,,,,,,,,,
hacken-smart-contract-audit,,!offer:hacken-smart-contract-audit,,,,,,,,,,,,,,,
halborn-blockchain-layer-1-assessment,,!offer:halborn-blockchain-layer-1-assessment,,,,,,,,,,,,,,,
halborn-smart-contract-assessment,,!offer:halborn-smart-contract-assessment,,,,,,,,,,,,,,,
halmos,,!offer:halmos,,,,,,,,,,,,,,"[""Solidity""]","[""Foundry""]"
hevm,,!offer:hevm,,,,,,,,,,,,,,,
kontrol,,!offer:kontrol,,,,,,,,,,,,,,"[""Solidity""]","[""Foundry""]"
kudelski-architecture-review,,!offer:kudelski-architecture-review,,,,,,,,,,,,,,,
kudelski-smart-contract-secure-code-review,,!offer:kudelski-smart-contract-secure-code-review,,,,,,,,,,,"EVM, Solidity",,,,
medusa,,!offer:medusa,,,,,,,,,,,,,,"[""Solidity""]",
mythril,,!offer:mythril,,,,,,,,,,,,,,,
openzeppelin-audits,,!offer:openzeppelin-audits,,,,,,,,,,,,,,,
peckshield-audit,,!offer:peckshield-audit,,,,,,,,,,,,,,,
polyzoa,,!offer:polyzoa,,,,,,,,,,,,,,,
safe,,!offer:safe,,,,,,,,,,,,,,,
salus-audit,,!offer:salus-audit,,,,,,,,,,,,,,,
salus-zk-solution,,!offer:salus-zk-solution,,,,,,,,,,,,,,,
scam-sniffer-standard,,!offer:scam-sniffer-standard,,,,,,,,,,,,,,,
scam-sniffer-startup,,!offer:scam-sniffer-startup,,,,,,,,,,,,,,,
slither,,!offer:slither,,,,,,,,,,,,,,"[""Solidity"",""Vyper""]","[""Hardhat"",""Foundry"",""Dapp"",""Brownie""]"
slowmist-audit,,!offer:slowmist-audit,,,,,,,,,,,,,,,
solidityscan-on-demand,,!offer:solidityscan-on-demand,,,,,,,,,,,,,,,
solidityscan-pro,,!offer:solidityscan-pro,,,,,,,,,,,,,,,
solidityscan-starter,,!offer:solidityscan-starter,,,,,,,,,,,,,,,
wake-security,,!offer:wake-security,,,,,,,,,,,,,,"[""Solidity""]","[""Hardhat"",""Foundry""]"
ziion-linux-distro,,!offer:ziion-linux-distro,,,,,,,,,,,,,,,
