slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
celer,,!offer:celer,,mainnet,,,,,,,,,,,,,,,,,,
chainlink-bridge-mainnet,,!offer:chainlink-bridge,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/binance-smart-chain-mainnet-opbnb-1)""]",mainnet,,,,,,,,,,,,,,,,,,
chainport,,!offer:chainport,,mainnet,,,,,,,,,,,,,,,,,,
interport,,!offer:interport,,mainnet,,,,,,,,,,,,,,,,,,
jumper,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
layerswap,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
meson,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,,
orbiter,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
owlto,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,,
pancakeswap-bridge,,!offer:pancakeswap-bridge,,mainnet,,,,,,,,,,,,,,,,,,
rhinofi,,!offer:rhinofi,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
stargate,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
symbiosis,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
zkbridge,,!offer:zkbridge,,mainnet,,,,,,,,,,,,,,,,,,
