slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
blockdaemon-mainnet-dedicated-full-archive,,!offer:blockdaemon-dedicated-full-archive,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-dedicated-recent-state,,!offer:blockdaemon-dedicated-recent-state,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-dedicated-recent-state,,!offer:blockdaemon-dedicated-recent-state,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-enterprise-full-archive,,!offer:blockdaemon-enterprise-full-archive,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free-full-archive,,!offer:blockdaemon-free-full-archive,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free-recent-state,,!offer:blockdaemon-free-recent-state,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-growth-full-archive,,!offer:blockdaemon-growth-full-archive,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-growth-recent-state,,!offer:blockdaemon-growth-recent-state,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-starter-full-archive,,!offer:blockdaemon-starter-full-archive,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-starter-recent-state,,!offer:blockdaemon-starter-recent-state,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-dedicated-full-archive,,!offer:blockdaemon-dedicated-full-archive,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-dedicated-recent-state,,!offer:blockdaemon-dedicated-recent-state,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-enterprise-recent-state,,!offer:blockdaemon-enterprise-recent-state,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-free-full-archive,,!offer:blockdaemon-free-full-archive,"[""[Docs](https://docs.blockdaemon.com/docs/dogecoin)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
