slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
1rpc-mainnet-free-recent-state,,!offer:1rpc-free-recent-state,"[""[Website](https://www.1rpc.io/ecosystem/aptos)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-pay-as-you-go-recent-state,,!offer:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-public-recent-state,,!offer:1rpc-public-recent-state,"[""[Website](https://www.1rpc.io/ecosystem/aptos)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-free-full-archive,,!offer:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/rpc/aptos)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-free-recent-state,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/aptos)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-full-archive,,!offer:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-recent-state,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-testnet-free-full-archive,,!offer:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/rpc/aptos-testnet)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
alchemy-testnet-free-recent-state,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/aptos-testnet)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
alchemy-testnet-pay-as-you-go-full-archive,,!offer:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
alchemy-testnet-pay-as-you-go-recent-state,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/aptos-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-2)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-free-full-archive,,!offer:allthatnode-free-full-archive,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-free-recent-state,,!offer:allthatnode-free-recent-state,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-scale-full-archive,,!offer:allthatnode-scale-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-scale-recent-state,,!offer:allthatnode-scale-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-starter-full-archive,,!offer:allthatnode-starter-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-starter-recent-state,,!offer:allthatnode-starter-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-2)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-free-full-archive,,!offer:allthatnode-free-full-archive,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-free-recent-state,,!offer:allthatnode-free-recent-state,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-scale-full-archive,,!offer:allthatnode-scale-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-scale-recent-state,,!offer:allthatnode-scale-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-starter-full-archive,,!offer:allthatnode-starter-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-starter-recent-state,,!offer:allthatnode-starter-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-full-archive,,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-full-archive,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
