slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
allo-mainnet,,!offer:allo,,mainnet,,,,,,,,,,,
bitquery-mainnet,,!offer:bitquery,"[""[Explore](https://explorer.bitquery.io/algorand)""]",mainnet,,,,,,,,,,,
lora-mainnet,,!offer:lora,"[""[Explore](https://lora.algokit.io/mainnet)""]",mainnet,,,,,,,,,,,
lora-testnet,,!offer:lora,"[""[Explore](https://lora.algokit.io/testnet)""]",testnet,,,,,,,,,,,
pera-mainnet,,!offer:pera,,mainnet,,,,,,,,,,,
pera-testnet,,!offer:pera,,testnet,,,,,,,,,,,
tokenterminal-explorer,,!offer:tokenterminal-explorer,"[""[Explore](https://tokenterminal.com/explorer/projects/algorand)""]",mainnet,,,,,,,,,,,
vestige-mainnet,,!offer:vestige,,mainnet,,,,,,,,,,,
wormholescan-mainnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/)""]",mainnet,,,,,,,,,,,
wormholescan-testnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/?network=TESTNET)""]",testnet,,,,,,,,,,,
