slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred,tag
allo-mainnet,Allo,,"[""[Explorer](https://allo.info/)""]",mainnet,Custom,"[""Transactions"",""Assets"",""Accounts"",""Apps"",""Projects"",""Blocks"",""NFDomains""]","[""TEAL inspector"",""Group transaction summary"",""Filters"",""Pera verified badges"",""NFT rarity info"",""Token prices"",""AlloAlerts notifications""]","[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free,FALSE,
bitquery-mainnet,Bitquery,,"[""[Explorer](https://explorer.bitquery.io/eos/address/algorand)""]",mainnet,Custom,"[""Addresses"",""Transactions"",""On-chain metrics""]","[""Multi-chain support"",""Widgets""]","[""REST API"",""GraphQL""]",,"[""Search"",""Filter""]",FALSE,TRUE,Free,FALSE,
pera-mainnet,Pera,,"[""[Explorer](https://explorer.perawallet.app/)""]",mainnet,Custom,"[""Accounts"",""Transactions"",""NFTs"",""ASAs"",""Apps""]","[""Verified ASAs database"",""Dynamic ASA price graphs"",""NFT transaction history"",""Opt-in for NFTs/ASAs""]","[""REST API""]",,"[""Search"",""Filter"",""Dashboard stats""]",TRUE,TRUE,Free,FALSE,
pera-testnet,Pera,,"[""[Explorer](https://explorer.perawallet.app/)""]",testnet,Custom,"[""Accounts"",""Transactions"",""NFTs"",""ASAs"",""Apps""]","[""Verified ASAs database"",""Dynamic ASA price graphs"",""NFT transaction history"",""Opt-in for NFTs/ASAs""]","[""REST API""]",,"[""Search"",""Filter"",""Dashboard stats""]",TRUE,TRUE,Free,FALSE,
tokenterminal-api-mainnet,,!offer:tokenterminal-api,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",mainnet,,,,,,,,,,,
tokenterminal-api-testnet,,!offer:tokenterminal-api,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",testnet,,,,,,,,,,,
tokenterminal-dataroom-mainnet,,!offer:tokenterminal-dataroom,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",mainnet,,,,,,,,,,,
tokenterminal-dataroom-testnet,,!offer:tokenterminal-dataroom,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",testnet,,,,,,,,,,,
tokenterminal-free-mainnet,,!offer:tokenterminal-free,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",mainnet,,,,,,,,,,,
tokenterminal-free-testnet,,!offer:tokenterminal-free,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",testnet,,,,,,,,,,,
tokenterminal-pro-mainnet,,!offer:tokenterminal-pro,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",mainnet,,,,,,,,,,,
tokenterminal-pro-testnet,,!offer:tokenterminal-pro,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",testnet,,,,,,,,,,,
