slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
alchemy-mainnet-free,,!offer:alchemy-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go,,!offer:alchemy-pay-as-you-go-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-testnet-free,,!offer:alchemy-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free,,!offer:ankr-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-testnet-free,,!offer:ankr-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-growth,,!offer:blockdaemon-growth-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free,,!offer:blockpi-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-testnet-free,,!offer:blockpi-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-developer,,!offer:chainstack-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-testnet-developer,,!offer:chainstack-developer-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-free,,!offer:drpc-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-testnet-free,,!offer:drpc-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
envio-testnet-free,,!offer:envio-free-indexer,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-free,,!offer:quicknode-build-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-free,,!offer:quicknode-build-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-free,,!offer:tatum-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-free,,!offer:tatum-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-free,,!offer:thirdweb-free-indexer,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-free,,!offer:thirdweb-free-indexer,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
