slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
<<<<<<< HEAD
alchemy-mainnet-free,,!offer:alchemy-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go,,!offer:alchemy-pay-as-you-go-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-testnet-free,,!offer:alchemy-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free,,!offer:ankr-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-testnet-free,,!offer:ankr-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-growth,,!offer:blockdaemon-growth-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free,,!offer:blockpi-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-testnet-free,,!offer:blockpi-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-developer,,!offer:chainstack-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-testnet-developer,,!offer:chainstack-developer-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-free,,!offer:drpc-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-testnet-free,,!offer:drpc-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
envio-testnet-free,,!offer:envio-free-indexer,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-business,,!offer:nownodes-business-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-custom,,!offer:nownodes-custom-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated,,!offer:nownodes-dedicated-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise,,!offer:nownodes-enterprise-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free,,!offer:nownodes-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-pro,,!offer:nownodes-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-business,,!offer:nownodes-business-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-custom,,!offer:nownodes-custom-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-dedicated,,!offer:nownodes-dedicated-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-enterprise,,!offer:nownodes-enterprise-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-free,,!offer:nownodes-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-pro,,!offer:nownodes-pro-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-free,,!offer:quicknode-build-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-free,,!offer:quicknode-build-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
sqd-free-indexer,,!offer:sqd-free-indexer,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
sqd-free-indexer,,!offer:sqd-free-indexer,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
sqd-pay-as-you-go-indexer,,!offer:sqd-pay-as-you-go-indexer,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
sqd-pay-as-you-go-indexer,,!offer:sqd-pay-as-you-go-indexer,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-free,,!offer:tatum-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-free,,!offer:tatum-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-free,,!offer:thirdweb-free-indexer,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-free,,!offer:thirdweb-free-indexer,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
triton-mainnet-business,,!offer:triton-business-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
triton-mainnet-custom,,!offer:triton-custom-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
triton-mainnet-dedicated,,!offer:triton-dedicated-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
triton-mainnet-enterprise,,!offer:triton-enterprise-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
triton-mainnet-free,,!offer:triton-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
triton-mainnet-pro,,!offer:triton-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
