slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
blockaid,,!offer:blockaid,,,,,,,,,,,,,
borg-security,,!offer:borg-security,,,,,,,,,,,,,
echidna,,!offer:echidna,,,,,,,,,,,,,
ercx-enteprise,,!offer:ercx-enteprise,,,,,,,,,,,,,
ercx-free,,!offer:ercx-free,,,,,,,,,,,,,
ercx-standard,,!offer:ercx-standard,,,,,,,,,,,,,
safe,,!offer:safe,,,,,,,,,,,,,
solidityscan-on-demand,,!offer:solidityscan-on-demand,,,,,,,,,,,,,
solidityscan-pro,,!offer:solidityscan-pro,,,,,,,,,,,,,
solidityscan-starter,,!offer:solidityscan-starter,,,,,,,,,,,,,
