slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
aleph-cloud-block-storage,,!offer:aleph-cloud-block-storage,,,,,,,,
aleph-cloud-gpu-cloud,,!offer:aleph-cloud-gpu-cloud,,,,,,,,
aleph-cloud-vps,,!offer:aleph-cloud-vps,,,,,,,,
crust-network,,!offer:crust-network,"[""[Website](https://crust.network/)""]",,,,,,,
pinata-fiesta,,!offer:pinata-fiesta,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",,,,,,,
pinata-free,,!offer:pinata-free,"[""[Website](https://pinata.cloud/)"",""[Docs](https://docs.pinata.cloud/)""]",,,,,,,
pinata-picnic,,!offer:pinata-picnic,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",,,,,,,
zeeve-build,,!offer:zeeve-build,,,,,,,,
zeeve-free,,!offer:zeeve-free,,,,,,,,
zeeve-growth,,!offer:zeeve-growth,,,,,,,,
zeeve-launch,,!offer:zeeve-launch,,,,,,,,
