slug,provider,offer,actionButtons,chain,txSpeedSla,throughputSla,technology,openSource,support,supportedChains,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,starred,tag
axelar-mainnet,,!offer:axelar,"[""[Bridge](https://www.axelar.network/)"",""[Docs](https://docs.axelar.dev/)""]",mainnet,,,,,,,,,,,,,,,,,,
celer-mainnet,,!offer:celer,,mainnet,,,,,,,,,,,,,,,,,,
defiway-bridge-mainnet,,!offer:defiway-bridge,,mainnet,,,,,,,,,,,,,,,,,,
garden-mainnet,,!offer:garden,,mainnet,,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
routerprotocol-mainnet,,!offer:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,,
starkware-mainnet,,!offer:starkware,,mainnet,,,,,,,,,,,,,,,,,,
symbiosis-mainnet,,!offer:symbiosis,"[""[Bridge](https://app.symbiosis.finance/)"",""[Docs](https://docs.symbiosis.finance/)""]",mainnet,,,,,,,,,,,,,,,,,,
transporter-mainnet,,!offer:transporter,,mainnet,,,,,,,,,,,,,,,,,,
wanchain-mainnet,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,,
