slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
ascoin-wallet,,!offer:ascoin-wallet,"[""[Website](https://www.ascoin.pro/)""]",,,,,,,,,,,,,,,,,,
atomic-wallet,,!offer:atomic-wallet,,,,,,,,,,,,,,,,,,,
base-wallet,,!offer:base-wallet,,,,,,,,,,,,,,,,,,,
bifrost,,!offer:bifrost,"[""[Website](https://bifrostwallet.com/)""]",,,,,,,,,,,,,,,,,,
binance-wallet,,!offer:binance-wallet,,,,,,,,,,,,,,,,,,,
bitcoin-com-wallet,,!offer:bitcoin-com-wallet,,,,,,,,,,,,,,,,,,,
bitget-wallet,,!offer:bitget-wallet,,,,,,,,,,,,,,,,,,,
bitpie,,!offer:bitpie,,,,,,,,,,,,,,,,,,,
brave-wallet,,!offer:brave-wallet,,,,,,,,,,,,,,,,,,,
bybit-wallet,,!offer:bybit-wallet,,,,,,,,,,,,,,,,,,,
clave-wallet,,!offer:clave-wallet,,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,,,,,,,,,,,,,,,,,,
coinomi-wallet,,!offer:coinomi-wallet,,,,,,,,,,,,,,,,,,,
coolwallet,,!offer:coolwallet,,,,,,,,,,,,,,,,,,,
crypto-com,,!offer:crypto-com,,,,,,,,,,,,,,,,,,,
ctrl-wallet,,!offer:ctrl-wallet,"[""[Website](https://ctrl.xyz/)""]",,,,,,,,,,,,,,,,,,
cwallet,,!offer:cwallet,,,,,,,,,,,,,,,,,,,
cypherock-x1,,!offer:cypherock-x1,,,,,,,,,,,,,,,,,,,
dcent,,!offer:dcent,,,,,,,,,,,,,,,,,,,
ecoin-wallet,,!offer:ecoin-wallet,,,,,,,,,,,,,,,,,,,
edge-wallet,,!offer:edge-wallet,"[""[Website](https://edge.app/)""]",,,,,,,,,,,,,,,,,,
ellipal,,!offer:ellipal,,,,,,,,,,,,,,,,,,,
enkrypt,,!offer:enkrypt,"[""[Website](https://www.enkrypt.com/)""]",,,,,,,,,,,,,,,,,,
exodus,,!offer:exodus,,,,,,,,,,,,,,,,,,,
foxwallet,,!offer:foxwallet,"[""[Website](https://foxwallet.com/)""]",,,,,,,,,,,,,,,,,,
gate,,!offer:gate,,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,,,,,,,,,,,,,,,,,,
guarda,,!offer:guarda,,,,,,,,,,,,,,,,,,,
imtoken,,!offer:imtoken,,,,,,,,,,,,,,,,,,,
iron-wallet,,!offer:iron-wallet,"[""[Website](https://ironwallet.io/)""]",,,,,,,,,,,,,,,,,,
keystone-3-pro,,!offer:keystone-3-pro,"[""[Website](https://keyst.one/)""]",,,,,,,,,,,,,,,,,,
kryptogo-wallet,,!offer:kryptogo-wallet,,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,,,,,,,,,,,,,,,,,,
math-wallet,,!offer:math-wallet,,,,,,,,,,,,,,,,,,,
mew,,!offer:mew,,,,,,,,,,,,,,,,,,,
nufi-wallet,,!offer:nufi-wallet,,,,,,,,,,,,,,,,,,,
okx,,!offer:okxwallet,,,,,,,,,,,,,,,,,,,
onekey,,!offer:onekey,,,,,,,,,,,,,,,,,,,
onto-wallet,,!offer:onto-wallet,,,,,,,,,,,,,,,,,,,
ownbit,,!offer:ownbit,,,,,,,,,,,,,,,,,,,
phantom,,!offer:phantom,,,,,,,,,,,,,,,,,,,
saakuru-wallet,,!offer:saakuru-wallet,,,,,,,,,,,,,,,,,,,
safepal,,!offer:safepal,,,,,,,,,,,,,,,,,,,
secux,,!offer:secux,,,,,,,,,,,,,,,,,,,
sorted-wallet,,!offer:sorted-wallet,,,,,,,,,,,,,,,,,,,
tangem,,!offer:tangem,,,,,,,,,,,,,,,,,,,
tokenpocket,,!offer:tokenpocket,,,,,,,,,,,,,,,,,,,
trezor,,!offer:trezor,,,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,,,,,,,,,,,,,,,,,,,
unstoppable,,!offer:unstoppable,,,,,,,,,,,,,,,,,,,
walletverse,,!offer:walletverse,,,,,,,,,,,,,,,,,,,
zengo,,!offer:zengo,,,,,,,,,,,,,,,,,,,
zengo-pro,,!offer:zengo-pro,,,,,,,,,,,,,,,,,,,
zypto,,!offer:zypto,,,,,,,,,,,,,,,,,,,
