slug,provider,offer,actionButtons,toolType,tag,price,planName,planType,description,starred
agent-kit,,!offer:agent-kit,,,,,,,,
ape-worx-evm-trace,,!offer:ape-worx-evm-trace,,,,,,,,
dapprovals-basic,,!offer:dapprovals-basic,,,,,,,,
dapprovals-standard,,!offer:dapprovals-standard,,,,,,,,
filecoin-signing-tools,Filecoin Signing Tools,,"[""[Docs](https://docs.filecoin.io/reference/built-in-actors)""]",Signal Tool,"[""Tool""]",$0,,Free,Filecoin signing libraries and tools for interacting with Filecoin actors,FALSE
fvm-beryx-address-converter,FVM Beryx Address Converter,,"[""[Website](https://beryx.io/address_converter)""]",Address Converter,"[""Tool""]",$0,,Free,Utility to convert Filecoin addresses,FALSE
fvm-go-graphsplit,FVM Go Graphsplit,,"[""[GitHub](https://github.com/filedrive-team/go-graphsplit)""]",Data preparation,"[""Data preparation""]",$0,,Free,GraphSplit tool for preparing large datasets for Filecoin,FALSE
fvm-tinygo-sdk,FVM Tinygo SDK,,"[""[GitHub](https://github.com/ipfs-force-community/go-fvm-sdk)""]",FVM Go SDK,"[""SDK""]",$0,,Free,Go SDK for Filecoin Virtual Machine smart contract development,FALSE
intellij-solidity-plugin,,!offer:intellij-solidity-plugin,,,,,,,,
mosaia-explorer,,!offer:mosaia-explorer,,,,,,,,
mosaia-pro,,!offer:mosaia-pro,,,,,,,,
multicall3,,!offer:multicall3,,,,,,,,
reown-free,,!offer:reown-free,,,,,,,,
reown-pro,,!offer:reown-pro,,,,,,,,
