slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
cid-checker-calibnet,,!offer:cid-checker,,calibnet,,,,,,,,,
cid-checker-mainnet,,!offer:cid-checker,,mainnet,,,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,"[""[Dashboard](https://www.coingecko.com/en/coins/filecoin)""]",mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,"[""[Dashboard](https://www.coingecko.com/en/coins/filecoin)""]",mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,"[""[Dashboard](https://www.coingecko.com/en/coins/filecoin)""]",mainnet,,,,,,,,,
coinglass,,!offer:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/FIL)""]",mainnet,,,,,,,,,
coinmarketcap-basic,,!offer:coinmarketcap-basic,"[""[Dashboard](https://coinmarketcap.com/currencies/filecoin/)""]",mainnet,,,,,,,,,
coinmarketcap-enterprise,,!offer:coinmarketcap-enterprise,"[""[Dashboard](https://coinmarketcap.com/currencies/filecoin/)""]",mainnet,,,,,,,,,
coinmarketcap-hobbyist,,!offer:coinmarketcap-hobbyist,"[""[Dashboard](https://coinmarketcap.com/currencies/filecoin/)""]",mainnet,,,,,,,,,
coinmarketcap-professional,,!offer:coinmarketcap-professional,"[""[Dashboard](https://coinmarketcap.com/currencies/filecoin/)""]",mainnet,,,,,,,,,
coinmarketcap-standard,,!offer:coinmarketcap-standard,"[""[Dashboard](https://coinmarketcap.com/currencies/filecoin/)""]",mainnet,,,,,,,,,
coinmarketcap-startup,,!offer:coinmarketcap-startup,"[""[Dashboard](https://coinmarketcap.com/currencies/filecoin/)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/fil/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/fil/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/fil/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/fil/summary)""]",mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/filecoin)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/filecoin)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/filecoin)""]",mainnet,,,,,,,,,
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/kalen/filecoin-daily-metrics)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/kalen/filecoin-daily-metrics)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/kalen/filecoin-daily-metrics)""]",mainnet,,,,,,,,,
fil-plus-datacap,,!offer:fil-plus-datacap,,mainnet,,,,,,,,,
glassnode,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=FIL)""]",mainnet,,,,,,,,,
laevitas-mainnet-enterprise,,!offer:laevitas-enterprise,,mainnet,,,,,,,,,
laevitas-mainnet-free,,!offer:laevitas-free,,mainnet,,,,,,,,,
laevitas-mainnet-premium,,!offer:laevitas-premium,,mainnet,,,,,,,,,
lunarcrush-builder,,!offer:lunarcrush-builder,,mainnet,,,,,,,,,
lunarcrush-hobby,,!offer:lunarcrush-hobby,,mainnet,,,,,,,,,
lunarcrush-individual,,!offer:lunarcrush-individual,,mainnet,,,,,,,,,
lunarcrush-scale,,!offer:lunarcrush-scale,,mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/filecoin)""]",mainnet,,,,,,,,,
santiment-mainnet-business-max,,!offer:santiment-business-max,,mainnet,,,,,,,,,
santiment-mainnet-business-pro,,!offer:santiment-business-pro,,mainnet,,,,,,,,,
santiment-mainnet-free,,!offer:santiment-free,,mainnet,,,,,,,,,
santiment-mainnet-sanbase-max,,!offer:santiment-sanbase-max,,mainnet,,,,,,,,,
santiment-mainnet-sanbase-pro,,!offer:santiment-sanbase-pro,,mainnet,,,,,,,,,
starboard-mainnet,,!offer:starboard,,mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/filecoin)""]",mainnet,,,,,,,,,
