slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag,supportedFiatCurrencies
alchemy-pay,,!offer:alchemy-pay,,,,,,,,,
banxa,,!offer:banxa,,,,,,,,,
btcdirect,,!offer:btcdirect,,,,,,,,,
coinbase-onramp,,!offer:coinbase-onramp,,,,,,,,,
meld,,!offer:meld,,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,,
moonpay,,!offer:moonpay,,,,,,,,,
onramp-money,,!offer:onramp-money,,,,,,,,,
onramper,,!offer:onramper,,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,,
trans-fi,,!offer:trans-fi,,,,,,,,,
transak,,!offer:transak,,,,,,,,,
