slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
airtm,AirTM,,"[""[Website](https://www.airtm.com/)""]",FALSE,"[""Web"",""iOS"",""Android""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Helpdesk""]","[""Audit by Quantstamp, 2022""]","[""en"",""es"",""pt""]",FALSE,
atomic-wallet,,!offer:atomic-wallet,,,,,,,,,,,,,,,,,,,
backpack,,!offer:backpack,,,,,,,,,,,,,,,,,,,
beansapp,Beans App,,"[""[Website](https://www.beansapp.com/)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""en"",""es""]",FALSE,
bitcoin-com-wallet,,!offer:bitcoin-com-wallet,,,,,,,,,,,,,,,,,,,
bitgo-custody-wallet,,!offer:bitgo-custody-wallet,"[""[Website](https://www.bitgo.com/products/custody-wallets/)"",""[Docs](https://developers.bitgo.com/docs/stellar-tokens/)""]",,,,,,,,,,,"[""XLM"",""Stellar-based assets""]",FALSE,,,,,,
bitgo-hot-wallet,,!offer:bitgo-hot-wallet,"[""[Website](https://www.bitgo.com/products/hot-wallets/)"",""[Docs](https://developers.bitgo.com/docs/stellar/)""]",,,,,,,,,,,"[""XLM"",""Stellar-based assets""]",FALSE,,,,,,
blaze,Blaze,,"[""[Website](https://blaze.money/)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""en"",""es""]",FALSE,
blockchain,Blockchain.com,,"[""[Website](https://www.blockchain.com/wallet)""]",FALSE,"[""Web"",""iOS"",""Android""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Helpdesk""]","[""Audit by CertiK, 2023""]","[""en"",""es"",""fr""]",FALSE,
bravepay,BravePay,,"[""[Website](https://www.bravepay.net/)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email""]","[""Audit by Bank of Spain, 2024""]","[""en"",""es""]",FALSE,
cinko,CiNKO,,"[""[Website](https://cinko.io/)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""en"",""es""]",FALSE,
clave-wallet,,!offer:clave-wallet,,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,,,,,,,,,,,,,,,,,,
coinme,Coinme,,"[""[Website](https://coinme.com/)""]",FALSE,"[""iOS"",""Android""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Helpdesk""]",,"[""en""]",FALSE,
coinomi-wallet,,!offer:coinomi-wallet,,,,,,,,,,,,,,,,,,,
coinspace,Coin Space,,"[""[Website](https://coin.space/)""]",FALSE,"[""Web"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email""]",,"[""en""]",FALSE,
cwallet,,!offer:cwallet,,,,,,,,,,,,,,,,,,,
fireblocks,Fireblocks,,"[""[Website](https://www.fireblocks.com/)""]",FALSE,"[""Web""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Helpdesk""]","[""Audit by Trail of Bits, 2023""]","[""en""]",FALSE,
fonbnk,Fonbnk,,"[""[Website](https://www.fonbnk.com/)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""en""]",FALSE,
freighter,Freighter,,"[""[Website](https://www.freighter.app/)""]",FALSE,"[""Chrome"",""Firefox""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Discord"",""Email""]","[""Audit by Trail of Bits, 2024""]","[""en""]",TRUE,
gem-wallet,,!offer:gem-wallet,,,,,,,,,,,,,,,,,,,
