slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
1rpc-op-mainnet-enterprise-recent-state,!provider:1rpc-enterprise-recent-state,"[""[Send Requests](https://1rpc.io/op)"",""[Docs](https://docs.1rpc.io/)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,mainnet,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,
1rpc-op-mainnet-free-recent-state,!provider:1rpc-free-recent-state,"[""[Send Requests](https://1rpc.io/op)"",""[Docs](https://docs.1rpc.io/)""]",,Free,Pruned,RPC,EVM JSON-RPC,mainnet,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""20K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,
1rpc-op-mainnet-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Send Requests](https://1rpc.io/op)"",""[Docs](https://docs.1rpc.io/)""]",,Pay-as-you-go,Pruned,RPC,EVM JSON-RPC,mainnet,"$9.90/$29.90/mo, $8.33/$24.99/yearly",$0,NULL,NULL,NULL,99.90%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""40K/100K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,
1rpc-op-mainnet-public-recent-state,!provider:1rpc-public-recent-state,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",,Public,Pruned,RPC,EVM JSON-RPC,mainnet,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""10K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,
alchemy-op-mainnet-enterprise,!provider:alchemy-enterprise-recent-state,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,mainnet,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",,
alchemy-op-mainnet-free,!provider:alchemy-free-recent-state,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,Free,Pruned,RPC,EVM JSON-RPC,mainnet,$0,$0/1M request,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",,
alchemy-op-mainnet-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,Pay-as-you-go,Pruned,RPC,EVM JSON-RPC,mainnet,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",,
alchemy-op-sepolia-enterprise,!provider:alchemy-enterprise-recent-state,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,testnet,Custom,Custom pricing,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",,
alchemy-op-sepolia-free,!provider:alchemy-free-recent-state,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,Free,Pruned,RPC,EVM JSON-RPC,testnet,$0,$0/1M request,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",,
alchemy-op-sepolia-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,Pay-as-you-go,Pruned,RPC,EVM JSON-RPC,testnet,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",,
