slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
1inch,,!offer:1inch,,,,,,,,,,,,,,,,,,,
alphawallet,,!offer:alphawallet,,,,,,,,,,,,,,,,,,,
ambire-wallet,,!offer:ambire-wallet,,,,,,,,,,,,,,,,,,,
atomic-wallet,,!offer:atomic-wallet,,,,,,,,,,,,,,,,,,,
base-wallet,,!offer:base-wallet,,,,,,,,,,,,,,,,,,,
binance-wallet,,!offer:binance-wallet,,,,,,,,,,,,,,,,,,,
bitget-wallet,,!offer:bitget-wallet,"[""[Website](https://web3.bitget.com/)""]",,,,,,,,,,,,,,,,,,
brave-wallet,,!offer:brave-wallet,,,,,,,,,,,,,,,,,,,
bridgewallet,,!offer:bridgewallet,,,,,,,,,,,,,,,,,,,
bybit-wallet,,!offer:bybit-wallet,,,,,,,,,,,,,,,,,,,
clear-evm-wallet,,!offer:clear-evm-wallet,,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,,,,,,,,,,,,,,,,,,
coinomi-wallet,,!offer:coinomi-wallet,,,,,,,,,,,,,,,,,,,
coolwallet,,!offer:coolwallet,,,,,,,,,,,,,,,,,,,
core-wallet,Ava Labs,,"[""[Website](https://core.app/)""]",FALSE,"[""Web"",""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155"",""ARC-20""]",TRUE,$0,"[""Knowledge Base"",""Chat Support""]",,"[""EN""]",FALSE,"[""Wallet"",""Avalanche""]"
crypto-com,,!offer:crypto-com,,,,,,,,,,,,,,,,,,,
ctrl-wallet,,!offer:ctrl-wallet,,,,,,,,,,,,,,,,,,,
cwallet,,!offer:cwallet,"[""[Website](https://cwallet.com/)""]",,,,,,,,,,,,,,,,,,
cypherock-x1,,!offer:cypherock-x1,,,,,,,,,,,,,,,,,,,
dapp-pocket,,!offer:dapp-pocket,,,,,,,,,,,,,,,,,,,
dcent,,!offer:dcent,"[""[Website](https://www.dcentwallet.com/)""]",,,,,,,,,,,,,,,,,,
ellipal,,!offer:ellipal,,,,,,,,,,,,,,,,,,,
enkrypt,,!offer:enkrypt,,,,,,,,,,,,,,,,,,,
exodus,,!offer:exodus,"[""[Website](https://www.exodus.com/)""]",,,,,,,,,,,,,,,,,,
fluvi-wallet,,!offer:fluvi-wallet,,,,,,,,,,,,,,,,,,,
foxwallet,,!offer:foxwallet,,,,,,,,,,,,,,,,,,,
frontier,,!offer:frontier,,,,,,,,,,,,,,,,,,,
fxwallet,,!offer:fxwallet,,,,,,,,,,,,,,,,,,,
gate,,!offer:gate,,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,,,,,,,,,,,,,,,,,,
guarda,,!offer:guarda,"[""[Website](https://guarda.com/)""]",,,,,,,,,,,,,,,,,,
holdstation,,!offer:holdstation,,,,,,,,,,,,,,,,,,,
imtoken,,!offer:imtoken,,,,,,,,,,,,,,,,,,,
iron-wallet,,!offer:iron-wallet,,,,,,,,,,,,,,,,,,,
keystone-3-pro,,!offer:keystone-3-pro,,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,,,,,,,,,,,,,,,,,,
math-wallet,,!offer:math-wallet,,,,,,,,,,,,,,,,,,,
metamask,,!offer:metamask,,,,,,,,,,,,,,,,,,,
mew,,!offer:mew,,,,,,,,,,,,,,,,,,,
nufi-wallet,,!offer:nufi-wallet,"[""[Website](https://nu.fi/)""]",,,,,,,,,,,,,,,,,,
okxwallet,,!offer:okxwallet,,,,,,,,,,,,,,,,,,,
onekey,,!offer:onekey,,,,,,,,,,,,,,,,,,,
onto-wallet,,!offer:onto-wallet,,,,,,,,,,,,,,,,,,,
ownbit,,!offer:ownbit,,,,,,,,,,,,,,,,,,,
rabby,,!offer:rabby,,,,,,,,,,,,,,,,,,,
rainbow,,!offer:rainbow,,,,,,,,,,,,,,,,,,,
saakuru-wallet,,!offer:saakuru-wallet,,,,,,,,,,,,,,,,,,,
safe-gnosis,,!offer:safe-gnosis,,,,,,,,,,,,,,,,,,,
safepal,,!offer:safepal,,,,,,,,,,,,,,,,,,,
sender,,!offer:sender,,,,,,,,,,,,,,,,,,,
sequence,,!offer:sequence,,,,,,,,,,,,,,,,,,,
stackup,,!offer:stackup,,,,,,,,,,,,,,,,,,,
taho,,!offer:taho,,,,,,,,,,,,,,,,,,,
talisman,,!offer:talisman,,,,,,,,,,,,,,,,,,,
tangem,,!offer:tangem,"[""[Website](https://tangem.com/en/)""]",,,,,,,,,,,,,,,,,,
tokenpocket,,!offer:tokenpocket,,,,,,,,,,,,,,,,,,,
trezor,,!offer:trezor,,,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,,,,,,,,,,,,,,,,,,,
unstoppable,,!offer:unstoppable,,,,,,,,,,,,,,,,,,,
walletverse,,!offer:walletverse,,,,,,,,,,,,,,,,,,,
wigwam,,!offer:wigwam,,,,,,,,,,,,,,,,,,,
zengo,,!offer:zengo,,,,,,,,,,,,,,,,,,,
zengo-pro,,!offer:zengo-pro,,,,,,,,,,,,,,,,,,,
zerion,,!offer:zerion,,,,,,,,,,,,,,,,,,,
zypto,,!offer:zypto,,,,,,,,,,,,,,,,,,,
