slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
binance-wallet,,!offer:binance-wallet,,,,,,,,,,,,,,,,,,,
clave-wallet,,!offer:clave-wallet,,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,,,,,,,,,,,,,,,,,,
coinomi-wallet,,!offer:coinomi-wallet,,,,,,,,,,,,,,,,,,,
dapp-pocket,,!offer:dapp-pocket,,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,,,,,,,,,,,,,,,,,,
kryptogo-wallet,,!offer:kryptogo-wallet,,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,,,,,,,,,,,,,,,,,,
metamask,,!offer:metamask,,,,,,,,,,,,,,,,,,,
nufi-wallet,,!offer:nufi-wallet,,,,,,,,,,,,,,,,,,,
phantom,,!offer:phantom,,,,,,,,,,,,,,,,,,,
rabby,,!offer:rabby,,,,,,,,,,,,,,,,,,,
ronin-wallet,,!offer:ronin-wallet,,,,,,,,,,,,,,,,,,,
saakuru-wallet,,!offer:saakuru-wallet,,,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,,,,,,,,,,,,,,,,,,,
walletverse,,!offer:walletverse,,,,,,,,,,,,,,,,,,,
zerion,,!offer:zerion,,,,,,,,,,,,,,,,,,,
