slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/somnia)""]",mainnet,,,,,,,,,,,,
api3-testnet,,!offer:api3,"[""[Website](https://market.api3.org/somnia-testnet)""]",testnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/protofire-price-feeds)""]",mainnet,,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,"[""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/using-verifiable-randomness-vrf)""]",testnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]",mainnet,,,,,,,,,,,,
dia-testnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]",testnet,,,,,,,,,,,,
protofire-mainnet,,!offer:protofire,"[""[Website](https://protofire.io/services/oracle-integration/)"",""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/protofire-price-feeds)""]",mainnet,Chainlink-compatible OCR,FALSE,"[""Price Feeds""]","[""Published OCR aggregator and proxy addresses""]","[""AggregatorV3Interface compatibility"",""Read-only proxy contracts""]","[""BTC/USD"",""ETH/USD"",""USDC/USD""]",Decentralized,FALSE,Somnia documentation does not describe a separate Protofire staking or slashing mechanism,"[""Solidity"",""JavaScript""]",,
protofire-testnet,,!offer:protofire,"[""[Website](https://protofire.io/services/oracle-integration/)"",""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/protofire-price-feeds)""]",testnet,Chainlink-compatible OCR,FALSE,"[""Price Feeds""]","[""Published testnet contract addresses""]","[""AggregatorV3Interface compatibility"",""Direct contract integration""]","[""BTC/USD"",""ETH/USD"",""USDC/USD""]",Decentralized,FALSE,Somnia documentation does not describe a separate Protofire staking or slashing mechanism,"[""Solidity"",""JavaScript""]",,
scry-protocol-mainnet,,!offer:scry-protocol,,mainnet,,,,,,,,,,,,
stork-testnet,,!offer:stork,,testnet,,,,,,,,,,,,
