slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
bitbond-token-tool-enterprise,!provider:bitbond-token-tool-enterprise,,,,,,,,
bitbond-token-tool-pay-as-you-go,!provider:bitbond-token-tool-pay-as-you-go,,,,,,,,
chain-ide,!provider:chain-ide,,,,,,,,
chainlink-ccip,!provider:chainlink-ccip,,,,,,,,
coinsdo,!provider:coinsdo,,,,,,,,
crossmint-enterprise,!provider:crossmint-enterprise,,,,,,,,
crossmint-free,!provider:crossmint-free,,,,,,,,
datacurve-enterprise,!provider:datacurve-enterprise,,,,,,,,
reown-free,!provider:reown-free,,,,,,,,
reown-pro,!provider:reown-pro,,,,,,,,
reown-enterprise,!provider:reown-enterprise,,,,,,,,
soroban-cli,Soroban CLI,"[""[Docs](https://github.com/stellar/stellar-cli)""]",CLI,"[""CLI"",""Soroban""]",$0 ,,Free,"CLI for developing, testing, and deploying Soroban smart contracts",FALSE
stellar-laboratory,Stellar Laboratory,"[""[Docs](https://lab.stellar.org/)""]",Testing Environment,"[""Testing"",""Horizon"",""Soroban""]",$0 ,,Free,"Web tool for testing transactions, accounts, and Soroban contracts",FALSE
