slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,tag
across,,!offer:across,,mainnet,,,,,,,,,,,,,,,,,,
interport,,!offer:interport,"[""[Bridge](https://app.interport.fi)"",""[Docs](https://docs.interport.fi)""]",mainnet,,,,,,,,,,,,,,,,,,
jumper,,!offer:jumper,"[""[Bridge](https://jumper.exchange/)"",""[Docs](https://jumper.exchange/learn)""]",mainnet,,,,,,,,,,,,,,,,,,
layerswap,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
okutrade,,!offer:okutrade,,mainnet,,,,,,,,,,,,,,,,,,
orbiter,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
owlto,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,,
routerprotocol,,!offer:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
stargate,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
superbridge,,!offer:superbridge,,mainnet,,,,,,,,,,,,,,,,,,
synapse,,!offer:synapse,,mainnet,,,,,,,,,,,,,,,,,,
wanchain,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,,
wormhole,,!offer:wormhole,,mainnet,,,,,,,,,,,,,,,,,,
