slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred,tag
defillama-mainnet-api-full-archive,,!offer:defillama-api-full-archive,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
defillama-mainnet-api-recent-state,,!offer:defillama-api-recent-state,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
defillama-mainnet-free-full-archive,,!offer:defillama-free-full-archive,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
defillama-mainnet-free-recent-state,,!offer:defillama-free-recent-state,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
defillama-mainnet-pro-full-archive,,!offer:defillama-pro-full-archive,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
defillama-mainnet-pro-recent-state,,!offer:defillama-pro-recent-state,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
artemis,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/scroll?tab=overview)""]",mainnet,,,,,,,,
defillama,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
dexscreener,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/scroll)""]",mainnet,,,,,,,,
dune,,!offer:dune,"[""[Dashboard](https://dune.com/blockchains/scroll)""]",mainnet,,,,,,,,
growthepie,,!offer:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/scroll)""]",mainnet,,,,,,,,
l2beat,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/scroll)""]",mainnet,,,,,,,,
messari,,!offer:messari,"[""[Dashboard](https://messari.io/project/scroll)""]",mainnet,,,,,,,,
tokenterminal,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/scroll)""]",mainnet,,,,,,,,
