slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla,chainId
1rpc-mainnet-developer-recent-state,,!offer:1rpc-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
1rpc-mainnet-personal-recent-state,,!offer:1rpc-personal-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
1rpc-mainnet-public-recent-state,,!offer:1rpc-public-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
1rpc-mainnet-starter-recent-state,,!offer:1rpc-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
1rpc-testnet-developer-recent-state,,!offer:1rpc-developer-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,534352
alchemy-mainnet-free-full-archive,,!offer:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/scroll)"",""[Docs](https://www.alchemy.com/docs/reference/scroll-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
alchemy-mainnet-free-recent-state,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/scroll)"",""[Docs](https://www.alchemy.com/docs/reference/scroll-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
alchemy-mainnet-pay-as-you-go-full-archive,,!offer:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/scroll-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
alchemy-mainnet-pay-as-you-go-recent-state,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/scroll-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
alchemy-testnet-free-full-archive,,!offer:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/scroll)"",""[Docs](https://www.alchemy.com/docs/reference/scroll-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,,534352
alchemy-testnet-free-recent-state,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/scroll)"",""[Docs](https://www.alchemy.com/docs/reference/scroll-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,,534352
alchemy-testnet-pay-as-you-go-full-archive,,!offer:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/scroll-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,,534352
alchemy-testnet-pay-as-you-go-recent-state,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/scroll-api-quickstart)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,,534352
ankr-mainnet-free-full-archive,,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
ankr-mainnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
ankr-mainnet-pay-as-you-go-full-archive,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
ankr-mainnet-pay-as-you-go-recent-state,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,534352
ankr-testnet-free-full-archive,,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,,534352
ankr-testnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,,534352
