slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
flare-mainnet-public,Flare,"[""[Docs](https://dev.flare.network/network/overview)""]",Free,Recent-State,mainnet,$0,$0,null,null,null,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",
flare-coston2-public,Flare,"[""[Docs](https://docs.flare.network/dev/reference/coston2-testnet/)""]",Free,Recent-State,Coston2,$0,$0,null,null,null,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",
flare-songbird-public,Flare,"[""[Docs](https://dev.flare.network/network/overview)""]",Free,Recent-State,Songbird,$0,$0,null,null,null,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",
flare-coston-public,Flare,"[""[Docs](https://dev.flare.network/network/overview)""]",Free,Recent-State,Coston,$0,$0,null,null,null,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",
ankr-mainnet-free,!provider:ankr-free-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go,!provider:ankr-pay-as-you-go-recent-state ,,,,mainnet,,,,,,,,,,,,,,,,
ankr-mainnet-enterprise,!provider:ankr-enterprise-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-pay-as-you-go-recent-state,!provider:quicknode-pay-as-you-go-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-enterprise,!provider:quicknode-enterprise-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
nownodes-mainnet-free,!provider:nownodes-free-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
nownodes-mainnet-pay-as-you-go,!provider:nownodes-pay-as-you-go-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
ankr-coston-free,!provider:ankr-free-recent-state,,,,Coston,,,,,,,,,,,,,,,,
ankr-coston2-free,!provider:ankr-free-recent-state,,,,Coston2,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,,,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,,,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,,,,mainnet,,,,,,,,,,,,,,,,
node-real-mainnet-free-full-archive,!provider:node-real-mainnet-free-full-archive,,,,"mainnet",,,,,,,,,,,,,,,,
node-real-mainnet-growth-full-archive,!provider:node-real-mainnet-growth-full-archive,,,,"mainnet",,,,,,,,,,,,,,,,
node-real-mainnet-team-full-archive,!provider:node-real-mainnet-team-full-archive,,,,"mainnet",,,,,,,,,,,,,,,,
node-real-mainnet-busniess-full-archive,!provider:node-real-mainnet-busniess-full-archive,,,,"mainnet",,,,,,,,,,,,,,,,
node-real-mainnet-semita-full-archive,!provider:node-real-mainnet-semita-full-archive,,,,"mainnet",,,,,,,,,,,,,,,,
node-real-testnet-free-full-archive,!provider:node-real-testnet-free-full-archive,,,,"testnet",,,,,,,,,,,,,,,,
node-real-testnet-growth-full-archive,!provider:node-real-testnet-growth-full-archive,,,,"testnet",,,,,,,,,,,,,,,,
node-real-testnet-team-full-archive,!provider:node-real-testnet-team-full-archive,,,,"testnet",,,,,,,,,,,,,,,,
node-real-testnet-busniess-full-archive,!provider:node-real-testnet-busniess-full-archive,,,,"testnet",,,,,,,,,,,,,,,,
node-real-testnet-semita-full-archive,!provider:node-real-testnet-semita-full-archive,,,,"testnet",,,,,,,,,,,,,,,,
