slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
1inch-mcp,,!offer:1inch-mcp,,,,,,,,,,,,,,,,,,,,
base-docs-mcp,,!offer:base-docs-mcp,,,,,,,,,,,,,,,,,,,,
biconomy-docs-mcp,,!offer:biconomy-docs-mcp,,,,,,,,,,,,,,,,,,,,
chainstack-developer-portal-mcp,,!offer:chainstack-developer-portal-mcp,,,,,,,,,,,,,,,,,,,,
coinbase-cdp-mcp,,!offer:coinbase-cdp-mcp,,,,,,,,,,,,,,,,,,,,
coingecko-mcp,,!offer:coingecko-mcp,,,,,,,,,,,,,,,,,,,,
coingecko-mcp-http,,!offer:coingecko-mcp-http,,,,,,,,,,,,,,,,,,,,
coinglass-docs-mcp,,!offer:coinglass-docs-mcp,,,,,,,,,,,,,,,,,,,,
coinmarketcap-mcp,,!offer:coinmarketcap-mcp,,,,,,,,,,,,,,,,,,,,
coinpaprika-mcp-sse,,!offer:coinpaprika-mcp-sse,,,,,,,,,,,,,,,,,,,,
covalent-docs-mcp,,!offer:covalent-docs-mcp,,,,,,,,,,,,,,,,,,,,
crypto-com-market-data-mcp,,!offer:crypto-com-market-data-mcp,,,,,,,,,,,,,,,,,,,,
defillama-mcp,,!offer:defillama-mcp,,,,,,,,,,,,,,,,,,,,
dia-docs-mcp,,!offer:dia-docs-mcp,,,,,,,,,,,,,,,,,,,,
dynamic-docs-mcp,,!offer:dynamic-docs-mcp,,,,,,,,,,,,,,,,,,,,
github-mcp-server,,!offer:github-mcp-server,,,,,,,,,,,,,,,,,,,,
heurist-mesh-mcp,,!offer:heurist-mesh-mcp,,,,,,,,,,,,,,,,,,,,
layerzero-docs-mcp,,!offer:layerzero-docs-mcp,,,,,,,,,,,,,,,,,,,,
li-fi-mcp,,!offer:li-fi-mcp,,,,,,,,,,,,,,,,,,,,
orderly-docs-mcp,,!offer:orderly-docs-mcp,,,,,,,,,,,,,,,,,,,,
privy-docs-mcp,,!offer:privy-docs-mcp,,,,,,,,,,,,,,,,,,,,
public-urls-mcp,,!offer:public-urls-mcp,,,,,,,,,,,,,,,,,,,,
pyth-pro-mcp,,!offer:pyth-pro-mcp,,,,,,,,,,,,,,,,,,,,
quicknode-mcp,,!offer:quicknode-mcp,,,,,,,,,,,,,,,,,,,,
reown-docs-mcp,,!offer:reown-docs-mcp,,,,,,,,,,,,,,,,,,,,
thirdweb-mcp,,!offer:thirdweb-mcp,,,,,,,,,,,,,,,,,,,,
