slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
4everland-storage-free,,!offer:4everland-storage-free,,,,,,,,
akave-cloud-business,,!offer:akave-cloud-business,,,,,,,,
akave-cloud-pay-as-you-go,,!offer:akave-cloud-pay-as-you-go,,,,,,,,
aleph-cloud-enterprise,,!offer:aleph-cloud-enterprise,,,,,,,,
ardrive-permanent-storage,,!offer:ardrive-permanent-storage,,,,,,,,
arweave,,!offer:arweave,,,,,,,,
bluzelle,,!offer:bluzelle,,,,,,,,
bnb-greenfield-storage,,!offer:bnb-greenfield-storage,,,,,,,,
btfs,,!offer:btfs,,,,,,,,
coldstack-storage,,!offer:coldstack-storage,,,,,,,,
crust-network,,!offer:crust-network,,,,,,,,
denet-storage,,!offer:denet-storage,,,,,,,,
filebase-enterprise,,!offer:filebase-enterprise,,,,,,,,
iagon-basic,,!offer:iagon-basic,,,,,,,,
iagon-business,,!offer:iagon-business,,,,,,,,
iagon-enterprise,,!offer:iagon-enterprise,,,,,,,,
iagon-standard,,!offer:iagon-standard,,,,,,,,
ipfs,IPFS,,"[""[Docs](https://docs.ipfs.io/)""]",Tool,"[""Go"",""JavaScript"",""Storage""]",$0,Free,,"Open decentralized protocol to store, verify, and share data across distributed networks commonly used in blockchain",FALSE
irys,,!offer:irys,,,,,,,,
jackal-vault,,!offer:jackal-vault,,,,,,,,
lighthouse-enterprise,,!offer:lighthouse-enterprise,,,,,,,,
orbit-db,Orbit DB,,"[""[Website](https://orbitdb.org/)""]",Database,"[""Decentralized database""]",$0,Free,,"It provides a serverless, distributed, peer-to-peer database for building decentralized applications",FALSE
pinata-enterprise,,!offer:pinata-enterprise,,,,,,,,
scprime-xns-cloud,,!offer:scprime-xns-cloud,,,,,,,,
spheron-persistent-volumes,,!offer:spheron-persistent-volumes,,,,,,,,
storj-advanced,,!offer:storj-advanced,,,,,,,,
storj-standard,,!offer:storj-standard,,,,,,,,
swarm,,!offer:swarm,,,,,,,,
tableland-db,Tableland,,"[""[Website](https://tableland.xyz/)""]",Database,"[""Decentralized database"",""SQL database"",""SQLite""]",Custom,TBD,,"It allows developers to store, manage, and query structured data for decentralized applications using familiar SQL statements, with access control and ownership tied to the blockchain",FALSE
thread-db,Powergate,Thread DB,"[""[Docs](https://docs.textile.io/threads/)""]",Database,"[""Decentralized database"",""P2P database""]",Custom,TBD,,"It is a multi-party,decentralized database solution built on IPFS and Libp2p that provides an alternative architecture for data on the web",FALSE
xandeum-storage-layer,,!offer:xandeum-storage-layer,,,,,,,,
zeeve-enterprise,,!offer:zeeve-enterprise,,,,,,,,
