slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis-polygon,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/polygon?tab=overview)""]",mainnet,,,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/pol/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/pol/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/pol/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/pol/summary)""]",mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/polygon)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/polygon)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/polygon)""]",mainnet,,,,,,,,,
dexscreener-polygon,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/polygon)""]",mainnet,,,,,,,,,
dune-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/polygon)""]",mainnet,,,,,,,,,
dune-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/polygon)""]",mainnet,,,,,,,,,
dune-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/polygon)""]",mainnet,,,,,,,,,
l2beat-polygon,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/polygon-pos)""]",mainnet,,,,,,,,,
messari-polygon,,!offer:messari,"[""[Dashboard](https://messari.io/project/polygon-ecosystem-token)""]",mainnet,,,,,,,,,
nansen-polygon,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=polygon)""]",mainnet,,,,,,,,,
santiment-business-max,,!offer:santiment-business-max,"[""[Buy](https://app.santiment.net/pricing?plans=business)""]",mainnet,,,,,,,,,
santiment-business-pro,,!offer:santiment-business-pro,"[""[Buy](https://app.santiment.net/pricing?plans=business)""]",mainnet,,,,,,,,,
santiment-free,,!offer:santiment-free,"[""[Website](https://app.santiment.net/)""]",mainnet,,,,,,,,,
santiment-sanbase-max,,!offer:santiment-sanbase-max,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
santiment-sanbase-pro,,!offer:santiment-sanbase-pro,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/polygon)""]",mainnet,,,,,,,,,
