slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
1rpc-one-public-recent-state,!provider:1rpc-public-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,,,,one,,,,,,,,,,,,,,,,,,
1rpc-one-free-recent-state,!provider:1rpc-free-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,,,,one,,,,,,,,,,,,,,,,,,
1rpc-one-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,,,,one,,,,,,,,,,,,,,,,,,
1rpc-one-enterprise-recent-state,!provider:1rpc-enterprise-recent-state,"[""[Contact](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/using-the-web3-api/networks)""]",,,,,,one,,,,,,,,,,,,,,,,,,
alchemy-one-free-recent-state,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/arbitrum)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,one,,,,,,,,,,,,,,,,,,
alchemy-one-pay-as-you-go-recent-state,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,one,,,,,,,,,,,,,,,,,,
alchemy-one-enterprise-recent-state,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,one,,,,,,,,,,,,,,,,,,
alchemy-nova-free-recent-state,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/arbitrum-nova)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
alchemy-nova-pay-as-you-go-recent-state,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
alchemy-nova-enterprise-recent-state,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
alchemy-sepolia-free-recent-state,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/arbitrum)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
alchemy-sepolia-pay-as-you-go-recent-state,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
alchemy-sepolia-enterprise-recent-state,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
alchemy-one-free-full-archive,!provider:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/arbitrum)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,one,,,,,,,,,,,,,,,,,,
alchemy-one-pay-as-you-go-full-archive,!provider:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,one,,,,,,,,,,,,,,,,,,
alchemy-one-enterprise-full-archive,!provider:alchemy-enterprise-full-archive,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,one,,,,,,,,,,,,,,,,,,
alchemy-nova-free-full-archive,!provider:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/arbitrum)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
alchemy-nova-pay-as-you-go-full-archive,!provider:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
alchemy-nova-enterprise-full-archive,!provider:alchemy-enterprise-full-archive,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
alchemy-sepolia-free-full-archive,!provider:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/arbitrum)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
alchemy-sepolia-pay-as-you-go-full-archive,!provider:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
alchemy-sepolia-enterprise-full-archive,!provider:alchemy-enterprise-full-archive,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
allthatnode-one-free-full-archive,!provider:allthatnode-free-full-archive,"[""[Website](https://www.allthatnode.com/protocol/arbitrum.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,,,,,one,,,,,,,,,,,,,,,,,,
allthatnode-one-pay-as-you-go-full-archive,!provider:allthatnode-pay-as-you-go-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,,,,,one,,,,,,,,,,,,,,,,,,
allthatnode-one-enterprise-full-archive,!provider:allthatnode-enterprise-full-archive,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,,,,,one,,,,,,,,,,,,,,,,,,
allthatnode-nova-free-full-archive,!provider:allthatnode-free-full-archive,"[""[Website](https://www.allthatnode.com/protocol/nova.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
allthatnode-nova-pay-as-you-go-full-archive,!provider:allthatnode-pay-as-you-go-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
allthatnode-nova-enterprise-full-archive,!provider:allthatnode-enterprise-full-archive,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
allthatnode-sepolia-free-full-archive,!provider:allthatnode-free-full-archive,"[""[Website](https://www.alchemy.com/arbitrum)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
allthatnode-sepolia-pay-as-you-go-full-archive,!provider:allthatnode-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
allthatnode-sepolia-enterprise-full-archive,!provider:allthatnode-enterprise-full-archive,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/reference/arbitrum-api-quickstart)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
ankr-one-free-full-archive,!provider:ankr-free-full-archive,"[""[Website](https://www.ankr.com/web3-api/chains-list/arbitrum/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,,,,one,,,,,,,,,,,,,,,,,,
ankr-one-pay-as-you-go-full-archive,!provider:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api/chains-list/arbitrum/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,,,,one,,,,,,,,,,,,,,,,,,
ankr-one-enterprise-full-archive,!provider:ankr-enterprise-full-archive,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=455e1b8b-8336-4969-8777-0296ea21e356)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,,,,one,,,,,,,,,,,,,,,,,,
ankr-nova-free-full-archive,!provider:ankr-free-full-archive,"[""[Website](https://www.ankr.com/web3-api/chains-list/arbitrumnova/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/arbitrum-nova/)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
ankr-nova-pay-as-you-go-full-archive,!provider:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api/chains-list/arbitrum/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/arbitrum-nova/)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
ankr-nova-enterprise-full-archive,!provider:ankr-enterprise-full-archive,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=455e1b8b-8336-4969-8777-0296ea21e356)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/arbitrum-nova/)""]",,,,,,nova,,,,,,,,,,,,,,,,,,
ankr-sepolia-free-full-archive,!provider:ankr-free-full-archive,"[""[Website](https://www.ankr.com/web3-api/chains-list/arbitrum/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
ankr-sepolia-pay-as-you-go-full-archive,!provider:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api/chains-list/arbitrum/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
ankr-sepolia-enterprise-full-archive,!provider:ankr-enterprise-full-archive,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=455e1b8b-8336-4969-8777-0296ea21e356)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#arbitrum)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,
