slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
chainlink-one,!provider:chainlink,"[""[ARB/USD](https://data.chain.link/feeds/arbitrum/mainnet/arb-usd)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chainlink/)""]",one,Decentralized Oracle,FALSE,"[""Price Feed"",""VRF"",""Proof of Reserve""]",,,,,,,,
chainlink-nova,!provider:chainlink,"[""[ARB/USD](https://data.chain.link/feeds/arbitrum/mainnet/arb-usd)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chainlink/)""]",nova,Decentralized Oracle,FALSE,"[""Price Feed"",""VRF"",""Proof of Reserve""]",,,,,,,,
chainlink-sepolia,!provider:chainlink,"[""[ARB/USD](https://data.chain.link/feeds/arbitrum/mainnet/arb-usd)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chainlink/)""]",sepolia,Decentralized Oracle,FALSE,"[""Price Feed"",""VRF"",""Proof of Reserve""]",,,,,,,,
api3-one,!provider:api3,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/api3)""]",one,Push & Pull Oracle,FALSE,"[""Price Feeds"",""QRNG"",""Airnode"",""dAPIs""]",,,,,,,,
api3-nova,!provider:api3,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/api3)""]",nova,Push & Pull Oracle,FALSE,"[""Price Feeds"",""QRNG"",""Airnode"",""dAPIs""]",,,,,,,,
api3-sepolia,!provider:api3,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/api3)""]",sepolia,Push & Pull Oracle,FALSE,"[""Price Feeds"",""QRNG"",""Airnode"",""dAPIs""]",,,,,,,,
chronicle-one,!provider:chronicle,"[""[ARB/USD](https://chroniclelabs.org/dashboard/oracle/ARB/USD#blockchain=ARB1&contract=0x91Fa05bCab98aD3DdEaE33DF7213EE8642e3c66c&txn=0x5cc5ccaf619c222b880a6bb09258d47ddbef6ab4b0ae95dc4f27c99a8baa7e52)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chronicle)""]",one,Decentralized Oracle,FALSE,"[""Price Feeds""]",,,,,,,,
chronicle-nova,!provider:chronicle,"[""[ARB/USD](https://chroniclelabs.org/dashboard/oracle/ARB/USD#blockchain=ARB1&contract=0x91Fa05bCab98aD3DdEaE33DF7213EE8642e3c66c&txn=0x5cc5ccaf619c222b880a6bb09258d47ddbef6ab4b0ae95dc4f27c99a8baa7e52)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chronicle)""]",nova,Decentralized Oracle,FALSE,"[""Price Feeds""]",,,,,,,,
chronicle-sepolia,!provider:chronicle,"[""[ARB/USD](https://chroniclelabs.org/dashboard/oracle/ARB/USD#blockchain=ARB1&contract=0x91Fa05bCab98aD3DdEaE33DF7213EE8642e3c66c&txn=0x5cc5ccaf619c222b880a6bb09258d47ddbef6ab4b0ae95dc4f27c99a8baa7e52)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chronicle)""]",sepolia,Decentralized Oracle,FALSE,"[""Price Feeds""]",,,,,,,,
ora-one,!provider:ora,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/ora/)""]",one,AI‑powered Oracle,FALSE,"[""AI Data"",""Price Feed""]",,,,,,,,
ora-nova,!provider:ora,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/ora/)""]",nova,AI‑powered Oracle,FALSE,"[""AI Data"",""Price Feed""]",,,,,,,,
ora-sepolia,!provider:ora,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/ora/)""]",sepolia,AI‑powered Oracle,FALSE,"[""AI Data"",""Price Feed""]",,,,,,,,
pyth-one,!provider:pyth,"[""[ARB/USD](https://insights.pyth.network/price-feeds/Crypto.ARB%2FUSD)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/pyth/)""]",one,Pull Oracle,FALSE,"[""Asset Price Feeds (incl. ARB/USD)""]",,,,,,,,
pyth-nova,!provider:pyth,"[""[ARB/USD](https://insights.pyth.network/price-feeds/Crypto.ARB%2FUSD)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/pyth/)""]",nova,Pull Oracle,FALSE,"[""Asset Price Feeds (incl. ARB/USD)""]",,,,,,,,
pyth-sepolia,!provider:pyth,"[""[ARB/USD](https://insights.pyth.network/price-feeds/Crypto.ARB%2FUSD)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/pyth/)""]",sepolia,Pull Oracle,FALSE,"[""Asset Price Feeds (incl. ARB/USD)""]",,,,,,,,
quex-one,!provider:quex,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/quex/)""]",one,Decentralized Oracle,FALSE,"[""Price Feed""]",,,,,,,,
quex-nova,!provider:quex,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/quex/)""]",nova,Decentralized Oracle,FALSE,"[""Price Feed""]",,,,,,,,
quex-sepolia,!provider:quex,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/quex/)""]",sepolia,Decentralized Oracle,FALSE,"[""Price Feed""]",,,,,,,,
dia-one,!provider:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/arbitrum)""]",one,DIA,FALSE,"[""REST"",""GraphQL""]",,,,,,,,
dia-sepolia,!provider:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/arbitrum)""]",sepolia,DIA,FALSE,"[""REST"",""GraphQL""]",,,,,,,,
