slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
celer-mainnet,,!offer:celer,,mainnet,,,,,,,,,,,,,,,,,,
connext-mainnet,,!offer:connext,,mainnet,,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
layerzero-mainnet,,!offer:layerzero,,mainnet,,,,,,,,,,,,,,,,,,
meson-mainnet,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,,
orbiter-mainnet,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
owlto-mainnet,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
wanchain-mainnet,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,,
