slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
asterizm-mainnet,,!offer:asterizm,,mainnet,,,,,,,,,,,,,,,,,,
crosscurve-mainnet,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,,
enosys-bridge-mainnet,,!offer:enosys-bridge,,mainnet,,,,,,,,,,,,,,,,,,
interport-mainnet,,!offer:interport,"[""[Bridge](https://app.interport.fi)"",""[Docs](https://docs.interport.fi)""]",mainnet,,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,"[""[Bridge](https://jumper.exchange/)"",""[Docs](https://jumper.exchange/learn)""]",mainnet,,,,,,,,,,,,,,,,,,
okutrade-mainnet,,!offer:okutrade,,mainnet,,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
wanchain-mainnet,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,,
