slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,address
public-mainnet,Public RPC,Public,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]",[],"[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",null,null,null,"[{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/overview"",""type"":""external""}]",
public-testnet,Public RPC,Public,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]",[],"[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",null,null,null,"[{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/overview"",""type"":""external""}]",
alchemy-mainnet-free,Alchemy,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""300M CU per month, 330 CUPS""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/rpc/alchemy"",""type"":""external""}]",
alchemy-mainnet-growth,Alchemy,Growth,Recent-State,mainnet,49,null,99.9,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""400M CU per month, 600 CUPS""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/rpc/alchemy"",""type"":""external""}]",
alchemy-mainnet-scale,Alchemy,Scale,Recent-State,mainnet,199,null,99.99,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""1.5B CU per month, 600 CUPS""]","[""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/rpc/alchemy"",""type"":""external""}]",
alchemy-mainnet-enterprise,Alchemy,Enterprise,Recent-State,mainnet,null,null,99.99,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/rpc/alchemy"",""type"":""external""}]",
alchemy-testnet-free,Alchemy,Free,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""300M CU per month, 330 CUPS""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/rpc/alchemy"",""type"":""external""}]",
alchemy-testnet-growth,Alchemy,Growth,Recent-State,testnet,49,null,99.9,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""400M CU per month, 600 CUPS""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/rpc/alchemy"",""type"":""external""}]",
alchemy-testnet-scale,Alchemy,Scale,Recent-State,testnet,199,null,99.99,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""1.5B CU per month, 600 CUPS""]","[""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/rpc/alchemy"",""type"":""external""}]",
alchemy-testnet-enterprise,Alchemy,Enterprise,Recent-State,testnet,null,null,99.99,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/rpc/alchemy"",""type"":""external""}]",
