slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blockBehindSla,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,starred,actionButtons,,address
blockdaemon-mainnet-free,!provider:blockdaemon-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-mainnet-pay-as-you-go,!provider:blockdaemon-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-mainnet-dedicated,!provider:blockdaemon-dedicated-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-mainnet-free-archive,!provider:blockdaemon-free-recent-state,,Full Archive,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-mainnet-pay-as-you-go-archive,!provider:blockdaemon-pay-as-you-go-recent-state,,Full Archive,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-mainnet-dedicated-archive,!provider:blockdaemon-dedicated-recent-state,,Full Archive,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-testnet-free,!provider:blockdaemon-free-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-testnet-pay-as-you-go,!provider:blockdaemon-pay-as-you-go-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-testnet-dedicated,!provider:blockdaemon-dedicated-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-testnet-free-archive,!provider:blockdaemon-free-recent-state,,Full Archive,testnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-testnet-pay-as-you-go-archive,!provider:blockdaemon-pay-as-you-go-recent-state,,Full Archive,testnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
blockdaemon-testnet-dedicated-archive,!provider:blockdaemon-dedicated-recent-state,,Full Archive,testnet,,,,,,,,,,,,,,,,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,
getblock-mainnet-free,GetBlock,Free,Resent-State,mainnet,$0,$0,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""50K CU"",""5 RPS"",""2 Access Tokens""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Website](https://getblock.io/nodes/algo/)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-mainnet-pay-as-you-go,GetBlock,Pay-as-you-go,Resent-State,mainnet,$49/$199/$499,$0.98/$0.9/$0.83/1M CU,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""50M/220M/600M CU"",""25/100/200 RPS"",""10/25/50 Access Tokens""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-mainnet-enterprise,GetBlock,Enterprise,Resent-State,mainnet,Up to $999,Custom,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""custom limits""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard"",""Advanced statistics""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-mainnet-dedicated,GetBlock,Dedicated,Resent-State,mainnet,Up to $1K,Custom,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""custom limits"",""unlimited requests"",""unlimited rate limit""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-mainnet-pay-as-you-go-archive,GetBlock,Pay-as-you-go,Full Archive,mainnet,$49/$199/$499,$0.98/$0.9/$0.83/1M CU,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""50M/220M/600M CU"",""25/100/200 RPS"",""10/25/50 Access Tokens""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-mainnet-enterprise-archive,GetBlock,Enterprise,Full Archive,mainnet,Up to $999,Custom,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""custom limits""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard"",""Advanced statistics""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-mainnet-dedicated-archive,GetBlock,Dedicated,Full Archive,mainnet,Up to $1K,Custom,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""custom limits"",""unlimited requests"",""unlimited rate limit""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-testnet-free,GetBlock,Free,Resent-State,testnet,$0,$0,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""50K CU"",""5 RPS"",""2 Access Tokens""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Website](https://getblock.io/nodes/algo/)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-testnet-pay-as-you-go,GetBlock,Pay-as-you-go,Resent-State,testnet,$49/$199/$499,$0.98/$0.9/$0.83/1M CU,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""50M/220M/600M CU"",""25/100/200 RPS"",""10/25/50 Access Tokens""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-testnet-enterprise,GetBlock,Enterprise,Resent-State,testnet,Up to $999,Custom,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""custom limits""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard"",""Advanced statistics""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-testnet-dedicated,GetBlock,Dedicated,Resent-State,testnet,Up to $1K,Custom,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""custom limits"",""unlimited requests"",""unlimited rate limit""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-testnet-pay-as-you-go-archive,GetBlock,Pay-as-you-go,Full Archive,testnet,$49/$199/$499,$0.98/$0.9/$0.83/1M CU,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""50M/220M/600M CU"",""25/100/200 RPS"",""10/25/50 Access Tokens""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-testnet-enterprise-archive,GetBlock,Enterprise,Full Archive,testnet,Up to $999,Custom,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""custom limits""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard"",""Advanced statistics""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
getblock-testnet-dedicated-archive,GetBlock,Dedicated,Full Archive,testnet,Up to $1K,Custom,99.90%,NULL,NULL,FALSE,"[""Algorand Native API"",""Indexer API"",""Algo API""]","[""custom limits"",""unlimited requests"",""unlimited rate limit""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""Dedicated nodes with enterprise-grade security"",""Multi-region infrastructure""]","[""Real-time performance tracking"",""Algorand Metrics Dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,
nodely-mainnet-free,Nodely,Free,Resent-State,mainnet,$0,,99.95%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""Up to 1K req/s/project"",""150GB req/mo"",""60 req/s/IP"",""50/s transactions/project"",""18/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Website](https://nodely.io/)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-mainnet-pay-as-you-go,Nodely,Pay-as-you-go,Resent-State,mainnet,$256,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""6K req/s/key/site"",""2TB req/mo"",""500 req/s/IP"",""6K/s transactions/project"",""500/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Buy](https://nodely.io/pricing)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-mainnet-enterprise,Nodely,Enterprise,Resent-State,mainnet,$1024/region,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""3K req/s/region"",""Unlimited quota"",""900 req/s/IP"",""3K/s transactions/project"",""900/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""180 day log analytics""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://nodely.io/contact)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-mainnet-free-archive,Nodely,Free,Full Archive,mainnet,$0,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""Up to 1K req/s/project"",""150GB req/mo"",""60 req/s/IP"",""50/s transactions/project"",""18/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Website](https://nodely.io/)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-mainnet-pay-as-you-go-archive,Nodely,Pay-as-you-go,Full Archive,mainnet,$256,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""6K req/s/key/site"",""2TB req/mo"",""500 req/s/IP"",""6K/s transactions/project"",""500/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Buy](https://nodely.io/pricing)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-mainnet-enterprise-archive,Nodely,Enterprise,Full Archive,mainnet,$1024/region,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""3K req/s/region"",""Unlimited quota"",""900 req/s/IP"",""3K/s transactions/project"",""900/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""180 day log analytics""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://nodely.io/contact)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-testnet-free,Nodely,Free,Resent-State,testnet,$0,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""Up to 1K req/s/project"",""150GB req/mo"",""60 req/s/IP"",""50/s transactions/project"",""18/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Website](https://nodely.io/)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-testnet-pay-as-you-go,Nodely,Pay-as-you-go,Resent-State,testnet,$256,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""6K req/s/key/site"",""2TB req/mo"",""500 req/s/IP"",""6K/s transactions/project"",""500/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Buy](https://nodely.io/pricing)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-testnet-enterprise,Nodely,Enterprise,Resent-State,testnet,$1024/region,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""3K req/s/region"",""Unlimited quota"",""900 req/s/IP"",""3K/s transactions/project"",""900/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""180 day log analytics""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://nodely.io/contact)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-testnet-free-archive,Nodely,Free,Full Archive,testnet,$0,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""Up to 1K req/s/project"",""150GB req/mo"",""60 req/s/IP"",""50/s transactions/project"",""18/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Website](https://nodely.io/)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
nodely-testnet-pay-as-you-go-archive,Nodely,Pay-as-you-go,Full Archive,testnet,$256,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""6K req/s/key/site"",""2TB req/mo"",""500 req/s/IP"",""6K/s transactions/project"",""500/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Buy](https://nodely.io/pricing)"",""[Docs](https://nodely.io/docs/free/start/)""]",,
