slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
4everland-storage-free,4everland,,"[""[Website](https://www.4everland.org/bucket/)"",""[Docs](https://docs.4everland.org/storage/bucket)""]",Storage,"[""IPFS"",""Arweave"",""Pinning Service"",""S3-compatible API""]",$0,Free,Standard,"Free monthly storage allocation for uploading, pinning, managing, and retrieving files through IPFS and Arweave, with dashboard access, a Storage SDK, a Pinning Services API, and an S3-compatible Bucket API.",FALSE
akave-cloud-business,Akave,,"[""[Contact](https://akave.com/akave-cloud-pricing)""]",Storage,"[""Permanent storage"",""Decentralized""]",Custom,Enterprise,Business,"It is revolutionizing data management with a decentralized, modular solution that combines the robust storage of Filecoin with cutting-edge encryption and easy-to-use interfaces",FALSE
akave-cloud-pay-as-you-go,Akave,,"[""[Buy](https://akave.com/akave-cloud-pricing)""]",Storage,"[""Permanent storage"",""Decentralized""]",$14.99/TB/mo,Pay-As-You-Go,,"It is revolutionizing data management with a decentralized, modular solution that combines the robust storage of Filecoin with cutting-edge encryption and easy-to-use interfaces",FALSE
aleph-cloud-block-storage,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",up to $0.0033,Pay-As-You-Go,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
aleph-cloud-enterprise,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",Custom,Enterprise,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
aleph-cloud-gpu-cloud,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",up to $0.055/h,Pay-As-You-Go,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
aleph-cloud-vps,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",up to $0.0143/h,Pay-As-You-Go,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
ardrive-permanent-storage,ArDrive,,"[""[Website](https://ardrive.io/pricing/)"",""[Help](https://ardrive.io/help/faqs-faq-what-currencies-or-cryptocurrencies-can-i-use-to-upload/)""]",Storage,"[""Arweave"",""Permanent storage"",""Encrypted"",""Pay-per-use""]",Live network rate,One-time payment,Permanent Storage,"Open-source file storage application for permanent public or encrypted private uploads to Arweave, paid once per file with AR or fiat-funded Turbo Credits.",FALSE
arweave,Arweave,,"[""[Website](https://arweave.org/)"",""[Docs](https://docs.arweave.org/developers)""]",Storage,"[""Permanent storage"",""Decentralized""]",Custom,Pay-As-You-Go,,Permanent decentralized data storage protocol using a blockchain structure to incentivize indefinite storage of data,FALSE
bluzelle,Bluzelle,,"[""[Website](https://www.bluzelle.com/storage)""]",Storage,"[""Database Data & File Storage""]",$0,Free,,It is web3 storage that ensure creators control their intellectual property free from gatekeepers,FALSE
