slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alchemy-pay,Alchemy Pay,,"[""[Website](https://alchemypay.org/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,
banxa,Banxa,,"[""[Website](https://banxa.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""ISO27001"",""SOC2_TYPE_II""]",TBD,
bleap,Bleap,,"[""[Website](https://bleap.finance/)""]",light,"[""sepa"",""fps"",""credit_card"",""debit_card"",""apple_pay"",""google_pay""]",,FALSE,,Web app,
finchpay,Finchpay,,"[""[Website](https://finchpay.io/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer""]","[""AF"",""BY"",""IR"",""KP"",""MM"",""RU"",""CU"",""US""]",FALSE,,Widget,
guardarian,Guardarian,,"[""[Website](https://guardarian.com/)""]",light,"[""credit_card"",""debit_card"",""sepa"",""swift""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,
halliday,Halliday,,"[""[Website](https://halliday.xyz/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""exchange_balancies""]","[""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",TRUE,,TBD,
meld,Meld,,"[""[Website](https://www.meld.io/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",TRUE,"[""PCI_DSS"",""SOC2_TYPE_II""]",TBD,
mercuryo,Mercuryo,,"[""[Website](https://mercuryoapp.app.link/4SQii)""]",light,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""sepa""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",FALSE,"[""PCI_DSS"",""ISO27001""]",TBD,
moonpay,MoonPay,,"[""[Website](https://www.moonpay.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay"",""paypal""]","[""AF"",""CN"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""VE""]",FALSE,"[""ISO27001"",""PCI_DSS"",""SOC2_TYPE_II""]",TBD,
mt-pelerin,Mt Pelerin,,"[""[Website](https://www.mtpelerin.com/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay""]","[""AF"",""BY"",""IR"",""RU"",""SY"",""CU"",""KP"",""US"",""IQ"",""SS""]",FALSE,,Widget,
onramper,Onramper,,"[""[Website](https://onramper.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",TRUE,"[""SOC2_TYPE_I""]",TBD,
paybis,Paybis,,"[""[Website](https://paybis.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""swift"",""skrill"",""neteller""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,
ramp-network,Ramp Network,,"[""[Website](https://ramp.network/)""]",light,"[""credit_card"",""debit_card"",""sepa"",""apple_pay"",""google_pay"",""revolut_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""YE""]",FALSE,"[""ISO27001"",""SOC2_TYPE_II"",""PCI_DSS""]",TBD,
revolut,Revolut,,"[""[Website](https://www.revolut.com/ramp/)""]",full,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""revolut account""]","[""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""LY"",""MM"",""VE""]",FALSE,,API,
sardine,Sardine,,"[""[Website](https://www.sardine.ai/)""]",full,"[""ach"",""instant_ach"",""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""SOC2_TYPE_II""]",TBD,
simplex,Simplex,,"[""[Website](https://www.simplex.com/)""]",full,"[""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,
stripe-crypto,Stripe,,"[""[Website](https://stripe.com/crypto)""]",full,"[""credit_card"",""debit_card"",""ach""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",FALSE,"[""SOC2_TYPE_II"",""PCI_DSS""]",TBD,
swapped-com,Swapped.com,,"[""[Website](https://swapped.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay"",""paypal""]",,TRUE,,API,
switchere,Switchere,,"[""[Website](https://switchere.com/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay"",""neteller"",""skrill"",""paypal"",""revolut_pay""]","[""BD"",""BY"",""CU"",""IR"",""KP"",""CN"",""RU"",""SS"",""SD""]",FALSE,"[""PCI_DSS""]",Widget,
top-nod,TopNod,,"[""[Website](https://topnod.com/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",TRUE,"[""SlowMist""]",TBD,
