slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
1inch,1inch,Wallet,"[""[Website](https://1inch.com/wallet)""]",FALSE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721""]",FALSE,$0,,,"[""EN"",""RU"",""JA"",""KO"",""VI"",""PT"",""AR"",""ZH"",""FR"",""ES"",""KO"",""ID"",""UK"",""HI""]",FALSE,"[""wallet"", ""mobile wallet"", ""hardware support"", ""EVM"", ""NFT""]"
airgap,AirGap,Wallet,"[""[Website](https://airgap.it/)""]",TRUE,"[""iOS"",""Android"",""Desktop""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""telegram"",""discord""]","[""Dolden""]","[""EN"",""DE"",""ZH""]",FALSE,"[""wallet"", ""mobile wallet"", ""desktop wallet"", ""hardware support"", ""open source"", ""EVM"", ""staking""]"
alphawallet,Alphawallet,Wallet,"[""[Website](https://alphawallet.com/)""]",TRUE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""ERC-1155"", ""ERC-875""]",TRUE,$0,"[""email"",""x"",""discord""]","[""audit by public""]","[""EN"",""RU"",""ZH""]",FALSE,"[""wallet"", ""mobile wallet"", ""hardware support"", ""open source"", ""EVM"", ""staking"", ""NFT""]"
ambire-wallet,Ambire,Wallet,"[""[Website](https://www.ambire.com/)""]",TRUE,"[""Web"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""BEP-20""]",TRUE,$0,"[""email"",""discord""]","[""audit by third parties""]","[""EN""]",FALSE,
ascoin-wallet,AScoin,Wallet,"[""[Website](https://www.ascoin.pro/)""]",FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""BEP-2"",""BEP-20"",""ERC-721"",""SPL"",""TRC-20"",""TRC-10"",""BRC-20""]",TRUE,Paid,"[""email"",""x"",""discord"",""telegram""]","[""audit by third parties""]","[""EN"",""RU"",""JA"",""KO"",""VI"",""PT"",""AR"",""ZH"",""FR"",""ES"",""KO"",""ID"",""UK"",""TI""]",FALSE,
atomic-wallet,Atomic,Wallet,"[""[Website](https://atomicwallet.io)""]",FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"[""ERC-20"", ""BEP-2"", ""TRC-20""]",TRUE,$0,"[""email"",""x"",""telegram""]","[""audit by third parties""]","[""EN""]",FALSE,
backpack,Backpack,Wallet,"[""[Website](https://backpack.app/)""]",TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""SPL""]",FALSE,$0,"[""email"",""x"",""discord"",""telegram""]","[""[Hacken](https://hacken.io/audits/backpack/)""]","[""EN""]",FALSE,"[""wallet"", ""mobile wallet"", ""browser extension"", ""hardware support"", ""open source"", ""EVM"", ""NFT"", ""Solana""]"
base-wallet,Base,Wallet,"[""[Website](https://www.coinbase.com/wallet)""]",TRUE,"[""Web"",""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,$0,"[""email"",""helpdesk""]",,"[""EN""]",FALSE,"[""wallet"", ""mobile wallet"", ""web wallet"", ""open source"", ""NFT""]"
bifrost,Bifrost,Wallet,"[""[Website](https://bifrostwallet.com/)""]",FALSE,"[""iOS"",""Android"",""Web""]",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20""]",FALSE,$0,"[""email"",""discord""]",,"[""EN""]",FALSE,"[""wallet"", ""mobile wallet"", ""web wallet"", ""EVM""]"
binance-wallet,Binance,Wallet,"[""[Website](https://www.binance.com/en/binancewallet)""]",FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"[""ERC-20"",""BEP-2"",""BEP-20"",""ERC-721"",""SPL"",""TRC-20"",""TRC-10"",""BRC-20"", ""ERC-404"", ""ERC-1155""]",TRUE,$0,"[""24/7 live chat""]","[""audit by third parties""]","[""EN"",""FR"",""ES"",""DE"",""ZH"",""NL"",""IT"",""PL"",""PT"",""JA"",""IT"",""ID"",""HI"",""NL"",""CS"",""CA"",""BG"",""AR"",""VI"",""TR"",""RU"",""FA"",""KO"",""SV"",""HA"", ""YO"",""UR"",""HR"",""MY"",""SI"",""LO"",""DA"",""HU"",""RO"",""FIL""]",FALSE,
