slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,,!offer:1money,,,,,,,,
banxa,,!offer:banxa,,,,,,,,
belo,,!offer:belo,,,,,,,,
bleap,,!offer:bleap,,,,,,,,
bvnk,,!offer:bvnk,,,,,,,,
coinbase-onramp,,!offer:coinbase-onramp,,,,,,,,
finchpay,,!offer:finchpay,,,,,,,,
fonbnk,,!offer:fonbnk,,,,,,,,
madhouse-wallet,,!offer:madhouse-wallet,,,,,,,,
meld,,!offer:meld,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
meso,,!offer:meso,,,,,,,,
minisend,,!offer:minisend,,,,,,,,
monerium,,!offer:monerium,,,,,,,,
moonpay,,!offer:moonpay,,,,,,,,
onmeta,,!offer:onmeta,,,,,,,,
onramp-money,,!offer:onramp-money,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
paybis,,!offer:paybis,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,
rampnow,,!offer:rampnow,,,,,,,,
sardine,,!offer:sardine,,,,,,,,
straits-x,,!offer:straits-x,,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,,,,,,,
swapped,,!offer:swapped,,,,,,,,
swipelux,,!offer:swipelux,,,,,,,,
topper,,!offer:topper,,,,,,,,
trans-fi,,!offer:trans-fi,,,,,,,,
transak,,!offer:transak,,,,,,,,
unigox,,!offer:unigox,,,,,,,,
