slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred,tag
arkham-mainnet,,!offer:arkham,,mainnet,,,,,,,,,,,
blockscout-sepolia,,!offer:blockscout,"[""[Explore](https://base-sepolia.blockscout.com/)""]",sepolia,,,,,,,,,,,
dexguru-mainnet,Dex.Guru,,"[""[Explore](https://base.dex.guru/)"",""[Docs](https://dexguru.readme.io/docs/getting-started)""]",mainnet,Custom,"[""Transactions"",""Blocks"",""Account balances""]","[""Verify contracts"",""Debug transactions"",""Interactive trace""]","[""REST""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free/$199/mo,FALSE,
etherscan-sepolia,,!offer:etherscan,"[""[Explore](https://sepolia.basescan.org/)""]",sepolia,,,,,,,,,,,
oklink-mainnet,,!offer:oklink,"[""[Explore](https://www.oklink.com/base)""]",mainnet,,,,,,,,,,,
routescan-advanced-mainnet,Routescan,!offer:routescan-advanced,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-advanced-testnet,Routescan,!offer:routescan-advanced,"[""[Explore](https://routescan.io/)""]",tesnet,,,,,,,,,,,
routescan-free-mainnet,Routescan,!offer:routescan-free,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-free-testnet,Routescan,!offer:routescan-free,"[""[Explore](https://routescan.io/)""]",testnet,,,,,,,,,,,
routescan-pro-plus-mainnet,Routescan,!offer:routescan-pro-plus,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-pro-plus-testnet,Routescan,!offer:routescan-pro-plus,"[""[Explore](https://routescan.io/)""]",testnet,,,,,,,,,,,
routescan-professional-mainnet,Routescan,!offer:routescan-professional,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-professional-testnet,Routescan,!offer:routescan-professional,"[""[Explore](https://routescan.io/)""]",testnet,,,,,,,,,,,
routescan-standard-mainnet,Routescan,!offer:routescan-standard,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-standard-testnet,Routescan,!offer:routescan-standard,"[""[Explore](https://routescan.io/)""]",testnet,,,,,,,,,,,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,,mainnet,,,,,,,,,,,
