slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across-mainnet,,!offer:across,,mainnet,,,,,,,,,,,,,,,,,,
across-testnet,,!offer:across,,testnet,,,,,,,,,,,,,,,,,,
allbridge-core-mainnet,,!offer:allbridge-core,"[""[Bridge](https://core.allbridge.io/)"",""[Docs](https://docs-core.allbridge.io/)""]",mainnet,,,,,,,,,,,,,,,,,,
asterizm-mainnet,,!offer:asterizm,,mainnet,,,,,,,,,,,,,,,,,,
axelar-mainnet,,!offer:axelar,,mainnet,,,,,,,,,,,,,,,,,,
celer-mainnet,,!offer:celer,,mainnet,,,,,,,,,,,,,,,,,,
chainlink-bridge-mainnet,,!offer:chainlink-bridge,,mainnet,,,,,,,,,,,,,,,,,,
chainlink-bridge-testnet,,!offer:chainlink-bridge,,testnet,,,,,,,,,,,,,,,,,,
chainport-mainnet,,!offer:chainport,,mainnet,,,,,,,,,,,,,,,,,,
chainspot-mainnet,,!offer:chainspot,,mainnet,,,,,,,,,,,,,,,,,,
connext-mainnet,,!offer:connext,"[""[Bridge](https://www.connext.network/)"",""[Docs](https://docs.connext.network/)""]",mainnet,,,,,,,,,,,,,,,,,,
crosscurve-mainnet,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,,
debridge-mainnet,,!offer:debridge,,mainnet,,,,,,,,,,,,,,,,,,
defiway-bridge-mainnet,,!offer:defiway-bridge,"[""[Bridge](https://defiway.com/bridge/)""]",mainnet,,,,,,,,,,,,,,,,,,
ecoportal-mainnet,,!offer:ecoportal,,mainnet,,,,,,,,,,,,,,,,,,
garden-mainnet,,!offer:garden,"[""[Bridge](https://app.garden.finance)"",""[Docs](https://docs.garden.finance/)""]",mainnet,,,,,,,,,,,,,,,,,,
garden-testnet,,!offer:garden,"[""[Bridge](https://app.garden.finance)"",""[Docs](https://docs.garden.finance/)""]",testnet,,,,,,,,,,,,,,,,,,
hashport-mainnet,,!offer:hashport,,mainnet,,,,,,,,,,,,,,,,,,
hop-mainnet,,!offer:hop,,mainnet,,,,,,,,,,,,,,,,,,
hop-testnet,,!offer:hop,,testnet,,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,,
hyperlane-testnet,,!offer:hyperlane,,testnet,,,,,,,,,,,,,,,,,,
interport-mainnet,,!offer:interport,,mainnet,,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
layerzero-mainnet,,!offer:layerzero,,mainnet,,,,,,,,,,,,,,,,,,
mayan-mainnet,,!offer:mayan,"[""[Bridge](https://swap.mayan.finance/)"",""[Docs](https://docs.mayan.finance)""]",mainnet,,,,,,,,,,,,,,,,,,
meson-mainnet,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,,
messina-mainnet,,!offer:messina,,mainnet,,,,,,,,,,,,,,,,,,
okutrade-mainnet,,!offer:okutrade,,mainnet,,,,,,,,,,,,,,,,,,
orbiter-mainnet,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
orbiter-testnet,,!offer:orbiter,,testnet,,,,,,,,,,,,,,,,,,
owlto-mainnet,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,,
pancakeswap-bridge-mainnet,,!offer:pancakeswap-bridge,"[""[Bridge](https://bridge.pancakeswap.finance/)"",""[Docs](https://docs.pancakeswap.finance/)""]",mainnet,,,,,,,,,,,,,,,,,,
pheasant-mainnet,,!offer:pheasant,"[""[Bridge](https://pheasant.network)"",""[Docs](https://docs.pheasant.network/)""]",mainnet,,,,,,,,,,,,,,,,,,
relay-mainnet,,!offer:relay,,mainnet,,,,,,,,,,,,,,,,,,
rhinofi-mainnet,,!offer:rhinofi,,mainnet,,,,,,,,,,,,,,,,,,
routerprotocol-mainnet,,!offer:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
safeswap-mainnet,,!offer:safeswap,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
superbridge-mainnet,,!offer:superbridge,,mainnet,,,,,,,,,,,,,,,,,,
superbridge-testnet,,!offer:superbridge,,testnet,,,,,,,,,,,,,,,,,,
symbiosis-mainnet,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
synapse-mainnet,,!offer:synapse,,mainnet,,,,,,,,,,,,,,,,,,
transporter-mainnet,,!offer:transporter,,mainnet,,,,,,,,,,,,,,,,,,
umbria-mainnet,,!offer:umbria,,mainnet,,,,,,,,,,,,,,,,,,
universalx-mainnet,,!offer:universalx,,mainnet,,,,,,,,,,,,,,,,,,
valuerouter-mainnet,,!offer:valuerouter,,mainnet,,,,,,,,,,,,,,,,,,
veda-mainnet,,!offer:veda,,mainnet,,,,,,,,,,,,,,,,,,
wanchain-mainnet,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,,
wormhole-mainnet,,!offer:wormhole,,mainnet,,,,,,,,,,,,,,,,,,
wormhole-testnet,,!offer:wormhole,,testnet,,,,,,,,,,,,,,,,,,
zkbridge-mainnet,,!offer:zkbridge,,mainnet,,,,,,,,,,,,,,,,,,
