slug,provider,actionButtons,planName,planType,historicalData,apiType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
somnia-mainnet-free-recent-state,Somnia,"[""[Website](https://browser.somnia.network/)"",""[Docs](https://docs.somnia.network/)""]",,Free,Pruned,RPC,mainnet,$0,$0,NULL,NULL,NULL,NULL,NULL,NULL,,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""Rate limits apply""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",,
somnia-testnet-free-recent-state,Somnia,"[""[Website](https://browser.somnia.network/)"",""[Docs](https://docs.somnia.network/)""]",,Free,Pruned,RPC,testnet,$0,$0,NULL,NULL,NULL,NULL,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""Rate limits apply""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",,
ankr-mainnet-public-full-archive,!provider:ankr-public-full-archive,"[""[Website](https://www.ankr.com/rpc/somnia)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-testnet-public-full-archive,!provider:ankr-public-full-archive,"[""[Website](https://www.ankr.com/rpc/somnia)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/somnia/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/somnia/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-enterprise-recent-state,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=f6490317-07c2-450e-8826-cbb4bbf8c1f8)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-testnet-free-recent-state,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/somnia/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-recent-state,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/somnia/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-enterprise-recent-state,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=f6490317-07c2-450e-8826-cbb4bbf8c1f8)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,testnet,,,,,,,,,,,,,,,,,,
