slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-astar,,!offer:blockscout,"[""[Explore](https://astar.blockscout.com/txs)""]",astar,,,,,,,,,,,
blockscout-shibuya,,!offer:blockscout,"[""[Explore](https://shibuya.blockscout.com/txs)""]",shibuya,,,,,,,,,,,
polkadot-js-astar,,!offer:polkadot-js,"[""[Explore](https://polkadot.js.org/apps/)""]",astar,,,,,,,,,,,
polkadot-js-shiden,,!offer:polkadot-js,"[""[Explore](https://polkadot.js.org/apps/)""]",shiden,,,,,,,,,,,
routescan-advanced-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-advanced-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-free-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-free-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-professional-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-professional-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-pro-plus-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-pro-plus-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-standard-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-standard-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
subscan-mainnet,,!offer:subscan,"[""[Explore](https://astar.subscan.io/)""]",astar,,,,,,,,,,,
subscan-shibuya,,!offer:subscan,"[""[Explore](https://shibuya.subscan.io/)""]",shibuya,,,,,,,,,,,
subscan-shiden,,!offer:subscan,"[""[Explore](https://shiden.subscan.io/)""]",shiden,,,,,,,,,,,
