slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
orbitflare-pay-as-you-go,OrbitFlare,"[""[Website](https://orbitflare.com)"", ""[Docs](https://docs.orbitflare.com)""]",Pay-as-you-go,rpc,mainnet,$399-999,$0,NULL,NULL,NULL,,,,FALSE,FALSE,"[""DAS"",""gRPC""]","[""100/300/500 rps""]","[""SSL"",""IP Protection"", ""Custom Rate Limiting""]","[""Full customer facing API"",""Analytics including RPS, TPS, methods""]","[""Europe"",""US"",""Asia""]",
orbitflare-enterprise,OrbitFlare,"[""[Website](https://orbitflare.com)"", ""[Docs](https://docs.orbitflare.com)""]",Enterprise,rpc,mainnet,$3K,$0,NULL,NULL,NULL,,,,FALSE,FALSE,"[""DAS"",""gRPC""]",,"[""SSL"",""IP Protection"", ""Custom Rate Limiting""]","[""Full customer facing API"",""Analytics including RPS, TPS, methods""]","[""Europe"",""US"",""Asia""]",
orbitflare-dedicated,OrbitFlare,"[""[Website](https://orbitflare.com)"", ""[Docs](https://docs.orbitflare.com)""]",Dedicated,rpc,mainnet,$3K,$0,NULL,NULL,NULL,99.99%,,,FALSE,FALSE,"[""DAS"",""gRPC""]",,"[""SSL"",""IP Protection"", ""Custom Rate Limiting""]","[""Full customer facing API"",""Analytics including RPS, TPS, methods""]","[""Europe"",""US"",""Asia""]",
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
syndica-mainnet-free-recent-state,Syndica,"[""[Website](https://syndica.io/)"",""[Website](https://docs.syndica.io/?ref=blog.syndica.io#pricing)""]",Standard Lite,Recent-State,mainnet,$0 ,$0 ,NULL,NULL,NULL,,,,FALSE,TRUE,"[""getBalance"",""getBlockByNumber"",""getBlocks"",""getRecentPerformanceSamples"",""logsSubscribe"",""slotSubscribe""]","[""1k req/mo""]","[""Authentication and Access Control"",""Customizable Rate Limiting"",""Firewall Controls""]","[""Request Volume and Throughput"",""Performance Metrics & Latency"",""Error Rates and Status Codes""]","[""Global""]",null
syndica-mainnet-free-recent-state,Syndica,"[""[Website](https://syndica.io/)"",""[Website](https://docs.syndica.io/?ref=blog.syndica.io#pricing)""]",Standard,Recent-State,mainnet,$0 ,$0 ,NULL,NULL,NULL,,,,FALSE,TRUE,"[""getBalance"",""getBlockByNumber"",""getBlocks"",""getRecentPerformanceSamples"",""logsSubscribe"",""slotSubscribe""]","[""100M req/mo"", ""100 rps""]","[""Authentication and Access Control"",""Customizable Rate Limiting"",""Firewall Controls""]","[""Request Volume and Throughput"",""Performance Metrics & Latency"",""Error Rates and Status Codes""]","[""Global""]",null
