slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
orbitflare-pay-as-you-go,OrbitFlare,"[""[Website](https://orbitflare.com)"", ""[Docs](https://docs.orbitflare.com)""]",Pay-as-you-go,rpc,mainnet,$399-999,$0,NULL,NULL,NULL,,,,FALSE,FALSE,"[""DAS"",""gRPC""]","[""100/300/500 rps""]","[""SSL"",""IP Protection"", ""Custom Rate Limiting""]","[""Full customer facing API"",""Analytics including RPS, TPS, methods""]","[""Europe"",""US"",""Asia""]",
orbitflare-enterprise,OrbitFlare,"[""[Website](https://orbitflare.com)"", ""[Docs](https://docs.orbitflare.com)""]",Enterprise,rpc,mainnet,$3K,$0,NULL,NULL,NULL,,,,FALSE,FALSE,"[""DAS"",""gRPC""]",,"[""SSL"",""IP Protection"", ""Custom Rate Limiting""]","[""Full customer facing API"",""Analytics including RPS, TPS, methods""]","[""Europe"",""US"",""Asia""]",
orbitflare-dedicated,OrbitFlare,"[""[Website](https://orbitflare.com)"", ""[Docs](https://docs.orbitflare.com)""]",Dedicated,rpc,mainnet,$3K,$0,NULL,NULL,NULL,99.99%,,,FALSE,FALSE,"[""DAS"",""gRPC""]",,"[""SSL"",""IP Protection"", ""Custom Rate Limiting""]","[""Full customer facing API"",""Analytics including RPS, TPS, methods""]","[""Europe"",""US"",""Asia""]",
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
gateway-fm-mainnet-free-recent-state,!provider:gateway-fm-mainnet-free-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
gateway-fm-mainnet-public-rpc-recent-state,!provider:gateway-fm-mainnet-public-rpc-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
gateway-fm-mainnet-enterprise-recent-state,!provider:gateway-fm-mainnet-enterprise-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
gateway-fm-mainnet-dedicated-recent-state,!provider:gateway-fm-mainnet-dedicated-recent-state,,,,mainnet,,,,,,,,,,,,,,,,
gateway-fm-testnet-free-recent-state,!provider:gateway-fm-testnet-free-recent-state,,,,testnet,,,,,,,,,,,,,,,,
gateway-fm-testnet-public-rpc-recent-state,!provider:gateway-fm-testnet-public-rpc-recent-state,,,,testnet,,,,,,,,,,,,,,,,
gateway-fm-testnet-enterprise-recent-state,!provider:gateway-fm-testnet-enterprise-recent-state,,,,testnet,,,,,,,,,,,,,,,,
gateway-fm-testnet-dedicated-recent-state,!provider:gateway-fm-testnet-dedicated-recent-state,,,,testnet,,,,,,,,,,,,,,,,
