slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,additionalFeatures,regions
aptos-indexer-mainnet-free,Aptos,"[""[Docs](https://aptos.dev/build/indexer)""]",mainnet,null,Custom,Free,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,,"[""Rate limits"",""Limited Customization""]","[""On-chain governance"",""Decentralized validator system"",""Compliance and security standards"",""Parallel execution and modular architecture""]","[""Real-time tracking"",""Historical analysis"",""Performance reporting""]","[""Custom Contract Indexing"",""Transaction Stream Service"",""Legacy Indexer Support""]","[""USA"",""Germany"",""Singapore""]"
aptos-indexer-testnet-free,Aptos,"[""[Docs](https://aptos.dev/build/indexer)""]",testnet,null,Custom,Free,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,,"[""Rate limits"",""Limited Customization""]","[""On-chain governance"",""Decentralized validator system"",""Compliance and security standards"",""Parallel execution and modular architecture""]","[""Real-time tracking"",""Historical analysis"",""Performance reporting""]","[""Custom Contract Indexing"",""Transaction Stream Service"",""Legacy Indexer Support""]","[""USA"",""Germany"",""Singapore""]"
chainstack-mainnet-free,!provider:chainstack-free,"[""[Website](https://chainstack.com/protocols/aptos/)"",""[Docs](https://docs.chainstack.com/docs/nodes-clouds-regions-and-locations#aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pay-as-you-go,!provider:chainstack-pay-as-you-go,"[""[Buy](https://chainstack.com/subgraphs/)"",""[Docs](https://docs.chainstack.com/docs/nodes-clouds-regions-and-locations#aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-enterprise,!provider:chainstack-enterprise,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/docs/nodes-clouds-regions-and-locations#aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-free,!provider:indexing-co-free,"[""[Docs](https://docs.indexing.co/networks/aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-pay-as-you-go,!provider:indexing-co-pay-as-you-go,"[""[Docs](https://docs.indexing.co/networks/aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-enterprise,!provider:indexing-co-enterprise,"[""[Docs](https://docs.indexing.co/networks/aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free,!provider:blockdaemon-mainnet-free,"[""[Website](https://docs.blockdaemon.com/reference/supported-protocols-and-networks#:~:text=Compile%20and%20Broadcast%20an%20Unsigned,Get%20API%20Metadataget)"",""[Website](https://www.blockdaemon.com/api/pricing)""]","mainnet",,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-pay-as-you-go,!provider:blockdaemon-mainnet-pay-as-you-go,"[""[Website](https://docs.blockdaemon.com/reference/supported-protocols-and-networks#:~:text=Compile%20and%20Broadcast%20an%20Unsigned,Get%20API%20Metadataget)"",""[Website](https://www.blockdaemon.com/api/pricing)""]","mainnet",,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-enterprise,!provider:blockdaemon-mainnet-enterprise,"[""[Website](https://docs.blockdaemon.com/reference/supported-protocols-and-networks#:~:text=Compile%20and%20Broadcast%20an%20Unsigned,Get%20API%20Metadataget)"",""[Website](https://www.blockdaemon.com/api/pricing)""]","mainnet",,,,,,,,,,,,,,,,,,,,
