slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
tonstat,TonStat,"[""[Dashboard](https://www.tonstat.com/)""]",mainnet,"[""Network Growth"",""Validators"",""Active Accounts"",""Transaction Count"",""Staking""]",TRUE,"[""Public API""]",$0,Free,Free,TRUE
dyor-io,DYOR.io,"[""[Dashboard](https://dyor.io/token/ton)""]",mainnet,"[""Jetton Prices"",""Liquidity Pools"",""Scam Detection"",""Holder Distribution"",""Rug Pull Checks""]",TRUE,"[""API (Premium)""]",Free / Premium,Freemium,Tiered,FALSE
geckoterminal,GeckoTerminal,"[""[Dashboard](https://www.geckoterminal.com/ton/pools)""]",mainnet,"[""DEX Trading Pairs"",""OHLCV Charts"",""Liquidity"",""Recent Trades""]",TRUE,"[""Public API""]",$0,Free,Free,FALSE
tonviewer-analytics,TonViewer,"[""[Dashboard](https://tonviewer.com/)""]",mainnet,"[""Top Jettons"",""Top NFTs"",""Whale Tracking"",""Bridges""]",TRUE,"[""TonAPI""]",$0,Free,Free,FALSE
dappradar,!provider:dappradar,"[""[Dashboard](https://dappradar.com/chain/ton)""]",mainnet,,,,,,,FALSE
defillama,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/ton)""]",mainnet,,,,,,,FALSE
dexscreener,!provider:dexscreener,"[""[Dashboard](https://dexscreener.com/ton)""]",mainnet,,,,,,,FALSE
dune,!provider:dune,"[""[Dashboard](https://dune.com/blockchains/ton)""]",mainnet,,,,,,,FALSE
messari,!provider:messari,"[""[Dashboard](https://messari.io/project/the-open-network)""]",mainnet,,,,,,,FALSE
nansen,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=ton)""]",mainnet,,,,,,,FALSE
tokenterminal,!provider:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/the-open-network)""]",mainnet,,,,,,,FALSE
