slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred,tag
dappradar,,!offer:dappradar,"[""[Dashboard](https://dappradar.com/chain/ton)""]",mainnet,,,,,,,,
defillama,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/ton)""]",mainnet,,,,,,,,
dexscreener,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/ton)""]",mainnet,,,,,,,,
dune,,!offer:dune,"[""[Dashboard](https://dune.com/blockchains/ton)""]",mainnet,,,,,,,,
dyor-io,DYOR.io,,"[""[Dashboard](https://dyor.io/token/ton)""]",mainnet,"[""Jetton Prices"",""Liquidity Pools"",""Scam Detection"",""Holder Distribution"",""Rug Pull Checks""]",TRUE,"[""API (Premium)""]",Free / Premium,Freemium,Tiered,FALSE,
geckoterminal,GeckoTerminal,,"[""[Dashboard](https://www.geckoterminal.com/ton/pools)""]",mainnet,"[""DEX Trading Pairs"",""OHLCV Charts"",""Liquidity"",""Recent Trades""]",TRUE,"[""Public API""]",$0,Free,Free,FALSE,
messari,,!offer:messari,"[""[Dashboard](https://messari.io/project/the-open-network)""]",mainnet,,,,,,,,
nansen,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=ton)""]",mainnet,,,,,,,,
tokenterminal,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/the-open-network)""]",mainnet,,,,,,,,
tonstat,TonStat,,"[""[Dashboard](https://www.tonstat.com/)""]",mainnet,"[""Network Growth"",""Validators"",""Active Accounts"",""Transaction Count"",""Staking""]",TRUE,"[""Public API""]",$0,Free,Free,TRUE,
tonviewer-analytics,TonViewer,,"[""[Dashboard](https://tonviewer.com/)""]",mainnet,"[""Top Jettons"",""Top NFTs"",""Whale Tracking"",""Bridges""]",TRUE,"[""TonAPI""]",$0,Free,Free,FALSE,
