slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis,,!offer:artemis,,mainnet,,,,,,,,,
blockworks,,!offer:blockworks,,mainnet,,,,,,,,,
bscscan-analytics,BscScan,,"[""[Dashboard](https://bscscan.com/charts)""]",mainnet,"[""Transactions"",""Gas"",""Accounts"",""Network""]",TRUE,,"[""REST API""]",Free,,Free,TRUE,
bubblemaps,,!offer:bubblemaps,,mainnet,,,,,,,,,
coinglass,,!offer:coinglass,,mainnet,,,,,,,,,
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/bnb/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/bnb/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/bnb/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/bnb/summary)""]",mainnet,,,,,,,,,
defillama,,!offer:defillama,,mainnet,,,,,,,,,
dexscreener,,!offer:dexscreener,,mainnet,,,,,,,,,
dune,,!offer:dune,,mainnet,,,,,,,,,
footprint-analytics-free,,!offer:footprint-analytics-free,,mainnet,,,,,,,,,
glassnode,,!offer:glassnode,,mainnet,,,,,,,,,
messari,,!offer:messari,,mainnet,,,,,,,,,
nansen,,!offer:nansen,,mainnet,,,,,,,,,
santiment-mainnet-business-max,,!offer:santiment-business-max,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
santiment-mainnet-business-pro,,!offer:santiment-business-pro,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
santiment-mainnet-free,,!offer:santiment-free,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
santiment-mainnet-sanbase-max,,!offer:santiment-sanbase-max,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
santiment-mainnet-sanbase-pro,,!offer:santiment-sanbase-pro,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]",mainnet,,,,,,,,,
tokenterminal,,!offer:tokenterminal,,mainnet,,,,,,,,,
zapper,,!offer:zapper,,mainnet,,,,,,,,,
