slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis,,!offer:artemis,,mainnet,,,,,,,,,
blockworks,,!offer:blockworks,,mainnet,,,,,,,,,
bscscan-analytics,BscScan,,"[""[Dashboard](https://bscscan.com/charts)""]",mainnet,"[""Transactions"",""Gas"",""Accounts"",""Network""]",TRUE,,"[""REST API""]",Free,,Free,TRUE,
bubblemaps,,!offer:bubblemaps,,mainnet,,,,,,,,,
coinglass,,!offer:coinglass,,mainnet,,,,,,,,,
coinmarketcap-basic,,!offer:coinmarketcap-basic,,mainnet,,,,,,,,,
coinmarketcap-hobbyist,,!offer:coinmarketcap-hobbyist,,mainnet,,,,,,,,,
coinmarketcap-professional,,!offer:coinmarketcap-professional,,mainnet,,,,,,,,,
coinmarketcap-standard,,!offer:coinmarketcap-standard,,mainnet,,,,,,,,,
coinmarketcap-startup,,!offer:coinmarketcap-startup,,mainnet,,,,,,,,,
cryptoquant-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/bnb/summary)""]",mainnet,,,,,,,,,
cryptoquant-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/bnb/summary)""]",mainnet,,,,,,,,,
cryptoquant-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/bnb/summary)""]",mainnet,,,,,,,,,
cryptoquant-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/bnb/summary)""]",mainnet,,,,,,,,,
defillama,,!offer:defillama,,mainnet,,,,,,,,,
dexscreener,,!offer:dexscreener,,mainnet,,,,,,,,,
dune-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/bnb)""]",mainnet,,,,,,,,,
dune-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/bnb)""]",mainnet,,,,,,,,,
dune-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/bnb)""]",mainnet,,,,,,,,,
footprint-analytics-free,,!offer:footprint-analytics-free,,mainnet,,,,,,,,,
glassnode,,!offer:glassnode,,mainnet,,,,,,,,,
kayalabs-business,,!offer:kayalabs-business,,mainnet,,,,,,,,,
kayalabs-free,,!offer:kayalabs-free,,mainnet,,,,,,,,,
kayalabs-pro,,!offer:kayalabs-pro,,mainnet,,,,,,,,,
lunarcrush-builder,,!offer:lunarcrush-builder,,mainnet,,,,,,,,,
lunarcrush-hobby,,!offer:lunarcrush-hobby,,mainnet,,,,,,,,,
lunarcrush-individual,,!offer:lunarcrush-individual,,mainnet,,,,,,,,,
lunarcrush-scale,,!offer:lunarcrush-scale,,mainnet,,,,,,,,,
messari,,!offer:messari,,mainnet,,,,,,,,,
nansen,,!offer:nansen,,mainnet,,,,,,,,,
santiment-business-max,,!offer:santiment-business-max,,mainnet,,,,,,,,,
santiment-business-pro,,!offer:santiment-business-pro,,mainnet,,,,,,,,,
santiment-free,,!offer:santiment-free,,mainnet,,,,,,,,,
santiment-sanbase-max,,!offer:santiment-sanbase-max,,mainnet,,,,,,,,,
santiment-sanbase-pro,,!offer:santiment-sanbase-pro,,mainnet,,,,,,,,,
tokenterminal,,!offer:tokenterminal,,mainnet,,,,,,,,,
zapper,,!offer:zapper,,mainnet,,,,,,,,,
